id_point,name,type,altitude,lat,lon,group
5403,Grand Bec de Pralognan,sommet,3399,45.4236,6.7527,0
5475,Aiguille de Péclet (sommet S),sommet,3561,45.2813,6.6239,0
2527,Dôme de Chasseforêt,sommet,3586,45.3312,6.7606,0
2225,Grande Aiguille Rousse,sommet,3482,45.4324,7.1094,0
1162,La Grande Casse,sommet,3855,45.405117,6.827194,0
7488,Dent du Villard,sommet,2285,45.41998,6.6766,0
7137,L'Aiguille Percée,sommet,2748,45.48349,6.89015,0
1226,Le grand Mont,sommet,2686,45.63201,6.53665,0
4883,Pointe de la Grande Journée,sommet,2460,45.6675,6.5011,0
2087,Mont-Mirantin,sommet,2460,45.684,6.499,0
1227,La Pierra-Menta,sommet,2714,45.63791,6.65121,0
2505,Rocher du Vent,sommet,2376,45.70499,6.6703,0
1641,Aiguille du grand fond,sommet,2920,45.6662,6.6708,0
7486,Pointe du Dzonfié,sommet,2455,45.58514,6.57124,0
7487,Dôme de Vaugelaz,sommet,2217,45.61069,6.70054,0
4762,Le Cheval Blanc,sommet,2830,46.05184,6.87277,0
4770,Le Buet,sommet,3096,46.02478,6.85261,0
3191,Tête de Bostan,sommet,2406,46.13542,6.80013,0
3098,Mont Sageroux,sommet,2676,46.1269,6.8495,0
1808,Mont Arménaz,sommet,2158,45.6278,6.23778,0
1025,Le Semnoz (le Crêt de Chatillon),sommet,1699,45.7971,6.1046,0
553,Pointe de l'Arcalod,sommet,2217,45.68166,6.22831,0
1861,Rochers de la Bade,sommet,1850,45.63,6.10806,0
1630,Dent des Portes,sommet,1932,45.7108,6.1903,0
1859,Dent de Rossanaz,sommet,1890,45.6572,6.11667,0
554,Dent d'Arclusaz,sommet,2041,45.601,6.174,0
543,Mont Trélod,sommet,2181,45.6928,6.1964,0
1258,Pic de la Sauge,sommet,1612,45.5522,6.0601,0
1251,Mont de la coche,sommet,2070,45.6673,6.2254,0
578,Le Mont Pécloz,sommet,2197,45.632,6.23,0
1900,Pointe de Banc Plat,sommet,1908,45.7293258679983,6.19489431381226,0
1242,Sommet de la montagne de Bange,sommet,1451,45.71989,6.0321,0
660,Mont colombier,sommet,2045,45.6444,6.1194,0
579,Pointe de la Chaurionde,sommet,2178,45.68366,6.25827,0
661,Mont Margeriaz,sommet,1846,45.6373,6.0354,0
1254,Mont charvet,sommet,1571,45.5614,6.0937,0
2219,Belle étoile,sommet,1842,45.6956,6.33056,0
1807,Dent de cons,sommet,2062,45.7297,6.3514,0
1809,Tré le Mollard,sommet,2035,45.6686,6.22306,0
1629,Mont julioz,sommet,1680,45.7056,6.16,0
1755,Mont chabert,sommet,1475,45.7092,6.14583,0
659,Roc des Boeufs,sommet,1774,45.7539,6.16611,0
577,Croix du Nivolet,sommet,1547,45.614,5.965,0
1250,Pointe des arlicots,sommet,2060,45.6071,6.2058,0
1259,Montgelas,sommet,1301,45.5397,6.0259,0
1241,Tour des ébats,sommet,1562,45.6904,5.9904,0
1243,Mont revard,sommet,1538,45.6841,5.9755,0
1252,Pointe des Arces,sommet,2076,45.615,6.22556,0
1978,Mont St Michel,sommet,894,45.55197,6.00193,0
1382,Tour de l'angle est,sommet,1470,45.6967,5.9975,0
