"x","place","code","lon","lat","ligne","arr","transit"
"http://fr.dbpedia.org/resource/Vavin_(métro_de_Paris)","Vavin",407,2.32895,48.8422,"4","6",2212681
"http://fr.dbpedia.org/resource/Rome_(métro_de_Paris)","Rome",3112,2.32205,48.8824,"13, 2, 3","8",2818857
"http://fr.dbpedia.org/resource/La_Courneuve_-_8_Mai_1945_(métro_de_Paris)","La Courneuve -",307,2.41067,48.9208,"7","",5536146
"http://fr.dbpedia.org/resource/Porte_de_Pantin_(métro_de_Paris)","Porte de Pantin",2201,2.39181,48.8885,"5","19",4675965
"http://fr.dbpedia.org/resource/Guy_Môquet_(métro_de_Paris)","Guy Môquet",30,2.32717,48.8922,"13","17",4660620
"http://fr.dbpedia.org/resource/Pointe_du_Lac_(métro_de_Paris)","Pointe du Lac","PTL",2.46481,48.7688,"8","",2384761
"http://fr.dbpedia.org/resource/Porte_de_Vincennes_(métro_de_Paris)","Porte de Vincennes",5,2.40888,48.8473,"1","12",5878175
"http://fr.dbpedia.org/resource/Arts_et_Métiers_(métro_de_Paris)","Arts et Métiers",803,2.3561,48.8655,"11, 3","3",4036745
"http://fr.dbpedia.org/resource/Bastille_(métro_de_Paris)","Bastille",1212,2.36908,48.8531,"1, 5, 8","4",13706765
"http://fr.dbpedia.org/resource/Porte_de_Clichy_(métro_de_Paris)","Porte de Clichy",30,2.31365,48.8943,"13","17",4021254
"http://fr.dbpedia.org/resource/Rambuteau_(métro_de_Paris)","Rambuteau",8,2.35391,48.862,"11","3",4498414
"http://fr.dbpedia.org/resource/Franklin_D._Roosevelt_(métro_de_Paris)","Franklin D. Roosevelt",1807,2.30831,48.8693,"1, 9","http://fr.dbpedia.org/resource/8e_arrondissement_de_Paris",11890240
"http://fr.dbpedia.org/resource/Madeleine_(métro_de_Paris)","Madeleine",10,2.32516,48.8701,"12, 8","http://fr.dbpedia.org/resource/8e_arrondissement_de_Paris",7475264
"http://fr.dbpedia.org/resource/Cardinal_Lemoine_(métro_de_Paris)","Cardinal Lemoine",1206,2.3512,48.8471,"10","5",1715926
"http://fr.dbpedia.org/resource/Louise_Michel_(métro_de_Paris)","Louise Michel",2913,2.28807,48.8893,"3","",3594105
"http://fr.dbpedia.org/resource/La_Muette_(métro_de_Paris)","La Muette",1711,2.27372,48.8577,"9","16",4206204
"http://fr.dbpedia.org/resource/Censier_-_Daubenton_(métro_de_Paris)","Censier - Daubenton",1204,2.35177,48.8406,"7","5",3777857
"http://fr.dbpedia.org/resource/Stalingrad_(métro_de_Paris)","Stalingrad",22,2.36582,48.8843,"2, 5, 7","10",7588899
"http://fr.dbpedia.org/resource/Mirabeau_(métro_de_Paris)","Mirabeau",712,2.27171,48.8467,"10","16",1420987
"http://fr.dbpedia.org/resource/Ségur_(métro_de_Paris)","Ségur",204,2.30685,48.8474,"10","7",1604694
"http://fr.dbpedia.org/resource/Château_d'Eau_(métro_de_Paris)","Château d'Eau",1111,2.35615,48.8729,"4","10",4059164
