,x,name,lon,lat,group
47,http://fr.dbpedia.org/resource/Gare_de_Paris-Austerlitz,Gare de Paris-Austerlitz,2.3661,48.8416,0
48,http://fr.dbpedia.org/resource/Gare_de_Paris-Est,Gare de Paris-Est,2.3594856262207036,48.87700802436548,1
49,http://fr.dbpedia.org/resource/Gare_de_Paris-Nord,Gare du Nord,2.355568536307833,48.88071419229505,0
50,http://fr.dbpedia.org/resource/Paris-Gare-de-Lyon,Paris-Gare-de-Lyon,2.3735,48.8448,3
51,http://fr.dbpedia.org/resource/Sainte-Chapelle,Sainte-Chapelle,2.345,48.8553,0
52,http://fr.dbpedia.org/resource/Pont_de_Bir-Hakeim,Pont de Bir-Hakeim,2.28778,48.8556,1
53,http://fr.dbpedia.org/resource/Église_Saint-Eustache_de_Paris,Église Saint-Eustache,2.345179462236367,48.86339934702512,0
54,http://fr.dbpedia.org/resource/Église_Saint-Pierre_de_Montmartre,Église Saint-Pierre de Montmartre,2.34203,48.8867,2
55,http://fr.dbpedia.org/resource/Maison_de_Balzac,Maison de Balzac,2.28083,48.8553,1
56,http://fr.dbpedia.org/resource/Église_Saint-Laurent_de_Paris,Église Saint-Laurent de Paris,2.35831,48.8748,2
57,http://fr.dbpedia.org/resource/Gare_de_Denfert-Rochereau,Gare de Denfert-Rochereau,2.33264,48.8338,3
58,http://fr.dbpedia.org/resource/Musée_de_la_Contrefaçon,Musée de la Contrefaçon,2.27694,48.8704,2
59,http://fr.dbpedia.org/resource/Église_Notre-Dame-de-l'Arche-d'Alliance,Église Notre-Dame-de-l'Arche-d'Alliance,2.30847,48.8367,2
60,http://fr.dbpedia.org/resource/Église_Notre-Dame-de-la-Croix_de_Ménilmontant,Église Notre-Dame-de-la-Croix de Ménilmontant,2.38686,48.8685,2
61,http://fr.dbpedia.org/resource/Église_Saint-François-de-Molitor,Église Saint-François-de-Molitor,2.26003,48.8454,1
62,http://fr.dbpedia.org/resource/Église_Saint-Philippe-du-Roule,Église Saint-Philippe-du-Roule,2.31056,48.8734,1
63,http://fr.dbpedia.org/resource/Église_Saint-Thomas-d'Aquin_de_Paris,Église Saint-Thomas-d'Aquin de Paris,2.3275,48.8564,2
64,http://fr.dbpedia.org/resource/Église_Notre-Dame-des-Champs,Église Notre-Dame-des-Champs,2.32686,48.8432,1
65,http://fr.dbpedia.org/resource/Église_Saint-Roch_de_Paris,Église Saint-Roch de Paris,2.3326,48.8652,1
66,http://fr.dbpedia.org/resource/Abbaye_de_Port-Royal_de_Paris,Abbaye de Port-Royal,2.33833,48.8386,0
67,http://fr.dbpedia.org/resource/Temple_protestant_de_l'Oratoire_du_Louvre,Temple protestant de l'Oratoire du Louvre,2.34,48.8617,2
68,http://fr.dbpedia.org/resource/Église_Saint-Pierre-de-Chaillot,Église Saint-Pierre-de-Chaillot,2.29847,48.8677,2
69,http://fr.dbpedia.org/resource/Musée_Cognacq-Jay,Musée Cognacq-Jay,2.36139,48.8582,2
70,http://fr.dbpedia.org/resource/Paroisse_Saint-Paul_de_Montmartre,Paroisse Saint-Paul de Montmartre,2.34984,48.8909,2
71,http://fr.dbpedia.org/resource/Cathédrale_arménienne_Saint-Jean-Baptiste_de_Paris,Cathédrale arménienne Saint-Jean-Baptiste de Paris,2.30701,48.8658,2
72,http://fr.dbpedia.org/resource/Église_suédoise_de_Paris,Église suédoise de Paris,2.30306,48.8806,2
73,http://fr.dbpedia.org/resource/Hôpital_Saint-Antoine,Hôpital Saint-Antoine,2.38262,48.8489,2
74,http://fr.dbpedia.org/resource/Hôtel_Raphael,Hôtel Raphael,2.29361,48.8714,3
75,http://fr.dbpedia.org/resource/Passerelle_suspendue_du_parc_des_Buttes-Chaumont,Passerelle suspendue des Buttes-Chaumont,2.3817,48.881,1
76,http://fr.dbpedia.org/resource/Pont_des_Suicidés,Pont des Suicidés,2.383,48.8803,2
77,http://fr.dbpedia.org/resource/Église_évangélique_Saint-Marcel,Église évangélique Saint-Marcel,2.33947,48.841,2
78,http://fr.dbpedia.org/resource/Obélisque_de_la_place_des_Fêtes,Place des Fêtes,2.39447,48.8769,0
79,http://fr.dbpedia.org/resource/Basilique_du_Sacré-Cœur_de_Montmartre,Basilique du Sacré-Cœur de Montmartre,2.343048038622802,48.88678078583062,0
80,http://fr.dbpedia.org/resource/Catacombes_de_Paris,Catacombes de Paris,2.3317945003509526,48.83372121308479,4
81,http://fr.dbpedia.org/resource/Musée_de_Cluny,Musée de Cluny,2.34333,48.8506,0
82,http://fr.dbpedia.org/resource/Musée_du_Louvre,Musée du Louvre,2.335868149337408,48.86100189147065,0
83,http://fr.dbpedia.org/resource/Grand_Palais_(Paris),Grand Palais,2.31255,48.8662,0
84,http://fr.dbpedia.org/resource/Musée_Carnavalet,Musée Carnavalet,2.36222,48.8575,0
85,http://fr.dbpedia.org/resource/Petit_Palais,Petit Palais,2.3144400000000003,48.8661,1
86,http://fr.dbpedia.org/resource/Pont_Alexandre-III,Pont Alexandre-III,2.31361,48.8636,0
87,http://fr.dbpedia.org/resource/Temple_du_Marais,Temple du Marais,2.36625,48.8533,2
