,x,name,lon,lat,column6
56,http://fr.dbpedia.org/resource/Westminster_Bridge,Westminster Bridge,-0.121667,51.5008,1
57,http://fr.dbpedia.org/resource/Bedford_Square,Bedford Square,-0.13,51.5189,1
58,http://fr.dbpedia.org/resource/Chapelle_Saint-Jean_de_Londres,Chapelle Saint-Jean de Londres,-0.0763889,51.5075,1
59,http://fr.dbpedia.org/resource/Gare_de_Canonbury,Gare de Canonbury,-0.091971,51.5488,1
60,http://fr.dbpedia.org/resource/St_Clement_Danes,St Clement Danes,-0.113898,51.513,1
61,http://fr.dbpedia.org/resource/St_Giles_in_the_Fields,St Giles in the Fields,-0.128633,51.5153,1
62,http://fr.dbpedia.org/resource/St_Mary-le-Strand,St Mary-le-Strand,-0.1169,51.5122,1
63,http://fr.dbpedia.org/resource/Église_Saint-Paul_(Covent_Garden),Église Saint-Paul (Covent Garden),-0.124167,51.5114,1
64,http://fr.dbpedia.org/resource/Lansdowne_Studios,Lansdowne Studios,-0.205652,51.5079,1
65,http://fr.dbpedia.org/resource/Blackfriars_Railway_Bridge,Blackfriars Railway Bridge,-0.103333,51.5097,1
66,http://fr.dbpedia.org/resource/Cimetière_catholique_de_Sainte_Marie,Cimetière catholique de Sainte Marie,-0.2333,51.5278,1
67,http://fr.dbpedia.org/resource/Hammersmith_Bridge,Hammersmith Bridge,-0.230278,51.4883,1
68,http://fr.dbpedia.org/resource/All_Hallows-by-the-Tower,All Hallows-by-the-Tower,-0.0794,51.5094,1
69,http://fr.dbpedia.org/resource/Christ_Church_Greyfriars,Christ Church Greyfriars,-0.099147,51.5158,1
70,http://fr.dbpedia.org/resource/Église_Saint-James_(Paddington),Église Saint-James (Paddington),-0.1765,51.513,1
71,"http://fr.dbpedia.org/resource/Église_Saint-Michael,_Cornhill","Église Saint-Michael, Cornhill",-0.085467,51.5132,1
72,http://fr.dbpedia.org/resource/Église_Saint-Vedast_alias_Foster,Église Saint-Vedast alias Foster,-0.096133,51.5149,1
73,http://fr.dbpedia.org/resource/Église_St_Andrew_Undershaft,Église St Andrew Undershaft,-0.081311,51.5137,1
74,http://fr.dbpedia.org/resource/Église_St_Helen's_Bishopsgate,Église St Helen's Bishopsgate,-0.0818,51.5148,1
75,http://fr.dbpedia.org/resource/Église_St_Magnus-le-Martyr,Église St Magnus-le-Martyr,-0.086366,51.5093,1
76,http://fr.dbpedia.org/resource/Institute_of_Contemporary_Arts,Institute of Contemporary Arts,-0.130556,51.5067,1
77,http://fr.dbpedia.org/resource/Musée_Petrie_d'archéologie_égyptienne,Musée Petrie d'archéologie égyptienne,-0.133056,51.5236,1
78,http://fr.dbpedia.org/resource/Freud_Museum,Freud Museum,-0.177407,51.5483,1
79,http://fr.dbpedia.org/resource/Tate_Modern,Tate Modern,-0.099167,51.5078,0
80,http://fr.dbpedia.org/resource/Tate_Britain,Tate Britain,-0.127222,51.4908,1
81,http://fr.dbpedia.org/resource/Napoléon_en_Mars_désarmé_et_pacificateur,Napoléon en Mars désarmé et pacificateur,-0.151667,51.5036,1
82,http://fr.dbpedia.org/resource/National_Maritime_Museum,National Maritime Museum,-0.005556,51.4811,1
