,city,classification,type,admin,lng,lat
64,Haut Armagnac,0,Alcool,Midi-Pyrénées,0.1614620958144286,43.793996013800005
65,Huile de noix du Périgord,0,Autre,Limousin,1.239837674506793,45.01874401964139
66,Olive de Nyons,0,Autre,Rhône-Alpes,5.2104511538275,44.333786850625
67,Huile essentielle de lavande de Haute-Provence,0,Autre,Provence-Alpes-Côte d'Azur,5.858940257021817,44.30989486169697
68,Jambon du Kintoa,0,Autre,Aquitaine,-0.9518866440880002,43.37155255413333
69,Jambon noir de Bigorre,0,Autre,Midi-Pyrénées,0.38716681578801504,43.1056820816
70,Kirsch de Fougerolles,0,Alcool,Franche-Comté,6.401108079839999,47.94371064226665
71,Laguiole,0,Fromage,Midi-Pyrénées,3.050941413499092,44.67483581488183
72,Langres,0,Fromage,Champagne-Ardenne,5.350264744551666,47.86463081668334
73,Lentille verte du Puy,0,Autre,Auvergne,3.8867079130742863,44.99610907512857
74,Les Baux de Provence,0,Vin,Provence-Alpes-Côte d'Azur,4.80218162499,43.745808725
75,Livarot,0,Fromage,Basse-Normandie,0.23147413138822384,49.09213859699091
76,Lonzu,0,Autre,Corse,9.14601576363,42.527863752100004
77,Lucques du Languedoc,0,Autre,Languedoc-Roussillon,3.2171167243718184,43.512623551672725
78,Macvin du Jura,0,Alcool,Franche-Comté,5.636944973826998,46.76351996019
79,Marc de Bourgogne,0,Alcool,Bourgogne,4.631632771902856,46.455455316321434
80,Marc du Jura,0,Alcool,Franche-Comté,5.637965680395454,46.82832777096364
81,Maroilles,0,Fromage,Picardie,3.864706688809999,49.94371460471818
82,Médoc,0,Vin,Aquitaine,-0.8104232044116667,45.13533756836667
83,Mele di Corsica,0,Autre,Corse,9.14601576363,42.527863752100004
84,Miel de sapin des Vosges,0,Autre,Franche-Comté,6.677277509978497,48.15282357547251
85,Minervois,0,Vin,Languedoc-Roussillon,2.6899364547699998,43.31747133849999
86,Mirabelle de Lorraine,0,Autre,Lorraine,5.869489098904546,48.63260109546365
87,Mont d'Or,0,Fromage,Franche-Comté,6.480546773479168,46.96768657891668
88,Morbier,0,Fromage,Franche-Comté,6.053214145071385,46.906221341301006
89,Moules de bouchot de la baie du Mont-Saint-Michel,0,Autre,Bretagne,-1.7799417213900002,48.597890871000004
90,Munster,0,Fromage,Alsace,6.707679867284443,48.156234906024075
91,Muscadet,0,Vin,Pays de la Loire,-1.3890222734435294,47.18281776556471
92,Muscat du Ventoux,0,Autre,Provence-Alpes-Côte d'Azur,5.1107474797600005,44.0343313036
93,Neufchâtel,0,Fromage,Haute-Normandie,1.5358503180688892,49.58085496274445
94,Noix de Grenoble,0,Autre,Rhône-Alpes,5.78727756638282,45.335177804971806
95,Noix du Périgord,0,Autre,Limousin,1.1999505979781784,45.021088151839294
96,Oignon doux des Cévennes,0,Autre,Languedoc-Roussillon,3.6252288340499996,43.9886565575
97,Olive de Nice,0,Autre,Provence-Alpes-Côte d'Azur,7.1351338375074995,43.761802770912496
98,Olive de Nîmes,0,Autre,Languedoc-Roussillon,4.1040072373,43.92809329582
99,Ossau-Iraty,0,Fromage,Aquitaine,-0.9518866440880002,43.37155255413333
100,Palette,0,Autre,Provence-Alpes-Côte d'Azur,5.50819253944,43.51969141359999
101,Pélardon,0,Fromage,Languedoc-Roussillon,3.6853683233732433,43.935531294335135
102,Pic Saint-Loup,0,Vin,Languedoc-Roussillon,3.832108485175,43.732348308199995
103,Picodon,0,Fromage,Rhône-Alpes,4.869157013417254,44.65793952634511
104,Pineau des Charentes,0,Vin,Poitou-Charentes,-0.6154420370588316,45.85043352494832
105,Pomme de terre de l'Ile de Ré,0,Autre,Poitou-Charentes,-1.4087648797025,46.20125559907501
106,Pomme du Limousin,0,Autre,Limousin,1.5026030467900002,45.80217164136667
107,Pommeau de Bretagne,0,Autre,Bretagne,-2.202165563232632,48.03529582332105
108,Pommeau de Normandie,0,Alcool,Basse-Normandie,-0.3837361787667432,48.92517075644268
109,Pommeau du Maine,0,Alcool,Pays de la Loire,-0.7784885622967059,47.97946663378824
110,Pont-l'Évêque,0,Fromage,Basse-Normandie,-0.5541604388209106,48.94294867253333
111,Porc noir de Bigorre,0,Autre,Midi-Pyrénées,0.38716681578801504,43.1056820816
112,Poularde de Bresse,0,Autre,Rhône-Alpes,5.230853304051818,46.64927896254545
113,Prés-salés de la baie de Somme,0,Autre,Nord-Pas-de-Calais,1.8702414947650001,50.3178080005
114,Prés-salés du Mont-Saint-Michel,0,Autre,Basse-Normandie,-1.3745192207025003,48.85182202870141
115,Prisuttu,0,Autre,Corse,9.14601576363,42.527863752100004
116,Reblochon de Savoie,0,Fromage,Rhône-Alpes,6.466003398707309,46.03852256944617
117,Rigotte de Condrieu,0,Fromage,Rhône-Alpes,4.5963735837,45.4231203599
118,Rocamadour,0,Fromage,Midi-Pyrénées,1.4796436140257143,44.729961423435725
119,Roquefort,0,Fromage,Languedoc-Roussillon,2.8276313944942864,43.97977650931609
120,Roussette de Savoie,0,Vin,Rhône-Alpes,5.919259885760001,45.56826282905
121,Roussette du Bugey,0,Vin,Rhône-Alpes,5.42801696363,46.009187877600006
122,Sainte-Maure de Touraine,0,Fromage,Centre,0.7762948810071002,47.25055645497334
123,Saint-Nectaire,0,Fromage,Auvergne,3.0020455857186366,45.49891537972273
124,Salers,0,Fromage,Auvergne,2.65762566782,45.2773189364909
125,Selles-sur-Cher,0,Fromage,Centre,1.6932758323766668,47.16404917026668
126,Taureau de Camargue,0,Autre,Provence-Alpes-Côte d'Azur,4.246752433845714,43.71150646908571
127,Terrasses du Larzac,0,Vin,Languedoc-Roussillon,3.38710687452,43.69577524979999
128,Tome des Bauges,0,Fromage,Rhône-Alpes,6.095882745271427,45.66762569094286
