,city,lat,lng,admin
120,Landes de Gascogne,44.2525,-0.8622299999999999,
121,Landes de Lot-et-Garonne,44.148,0.345039,
122,Landes du Médoc,45.3078,-0.9363889999999999,
123,Languedoc,43.666666666667005,3.1666666666667003,
124,Libournais,44.9161,-0.24277800000000002,
125,Lieuvin,49.20636363636363,0.5198989090909091,
126,Limagne,45.841761111111,3.2528166666666665,
127,Limagne bourbonnaise,46.12123333333333,3.3610199999999995,
128,Livradois,45.5317,3.6358300000000003,
129,Loudunais,47.0106,0.0844444,
130,Léon,48.583,-4.033,
131,Mantois,48.9829,1.714445,
132,Marais breton,46.9151,-1.9860579999999999,
133,Marais de Bréjat,45.7181,-1.14694,
134,Marais de Pontaillac,45.62,-1.03,
135,Marais de Pousseau,45.62,-1.03,
136,Marais de Rochefort,46.018,-1.0478,
137,Marais de la Petite Flandre,46.0358,-0.8286110000000001,
138,Marais des Baux,43.71515,4.793405,
139,Marais des Échets,45.86656666666667,4.9515666666666664,
140,Maremne,43.6431,-1.43111,
141,Marensin,43.8833,-1.14583,
142,Margeride,44.76625,3.48653,
143,Marmandais,44.51,0.161705,
144,Marquenterre,50.400200000000005,1.6189799999999999,
145,Massif de l'Arbre,45.7389,0.54028,
146,Massif de la Chartreuse,45.35,5.8333333333333,
147,Massif des Bauges,45.633333,6.1666669999999995,
148,Massif des Corbières,42.852216665,2.56569611,
149,Massif du Mézenc,44.91105555555551,4.195,
150,Massif du Plantaurel,43.0294,1.34972,
151,Massif du Vercors,44.96666667,5.41666667,
152,Matheysine,44.96666667,5.78333333,
153,Mauriacois,45.2197,2.3342,
154,Maurienne,45.2,6.6666666666667,
155,Mellois,46.2235,-0.14582499999999998,
156,Minervois,43.177,2.637,
157,Mirebalais,46.7858,0.1825,
158,Montagne Noire,43.424444444444,2.4627777777777995,
159,Montagne bourbonnaise,46.048899999999996,3.65861,
160,Montmorillonnais,46.4269,0.8717,
161,Montmorélien,45.4,0.1317,
162,Monts de Blond,46.019165,1.0484,
163,Monts de Châlus,45.5945,1.052111,
164,Monts de Fayat,45.59024,1.35102,
165,Monts de la Marche,45.67,1.9169999999999998,
166,Monts du Forez,45.632709999999996,3.84145,
167,Monts du Vivarais,44.911,4.195,
168,Moselle-est,49.14006666666666,6.880025,
169,Multien,49.03305,2.9218149999999996,
170,Mâconnais,46.4351,4.870255,
171,Médoc,45.40985,-1.0299995,
172,Nebbio,42.63954,9.32108,
173,Niolo,42.3367,9.01806,
