name,lat,lon,lines
Place des Archives,45.746879870437496,4.8244808707365,"T1, T2"
Porte des Alpes,45.719311589020165,4.924770280080667,T2
Quai Claude Bernard,45.7496352267695,4.835257264887501,T1
Rebufer,45.727509731662,4.91566490176175,T2
Reconnaissance - Balzac,45.75440533441975,4.88487146739525,T3
Route de Vienne,45.742461817030666,4.8512682929903335,T2
Rue de l'Université,45.75119572002425,4.8383926072555,T1
République Villeurbanne,45.770608565699504,4.8736711059025,A
Saint-André,45.752900028346005,4.841041639289,T1
Sainte-Blandine,45.7442028491125,4.822111094326001,"T1, T2"
Salvador Allende,45.703441355548,4.9348987507185,T2
Sans Souci,45.74797533676067,4.86439668259,D
Saxe - Gambetta,45.75381084633912,4.847021772132444,"B, D"
Saxe - Préfecture,45.759877245363,4.84544585541,T1
St Just,45.7574248851505,4.815661466472751,F1
St Priest Bel Air,45.69286426120725,4.956656755499,T2
St Priest Hôtel de Ville,45.6949912294064,4.935810578883,T2
St Priest Jules Ferry,45.6946527997295,4.94672909511075,T2
Stade de Gerland Le LOU,45.727008178835,4.83104802081775,B
Thiers - Lafayette,45.7640392416045,4.862476187852,"T1, T4"
Université Lyon 1,45.78087384814,4.8662943474935005,"T1, T4"
Valmy,45.775048246272,4.805611069228167,D
Vaulx-en-Velin La Soie,45.76118219806412,4.921431455285294,"A, T3, T7"
Venissy,45.6959822641805,4.87201772021,T4
Vieux Lyon,45.75993108479,4.8268156317488,"D, F1, F2"
Villon,45.738419231473,4.8633244202835,T2
Vinatier,45.7425290339995,4.894095550038999,T6
