,url,name,lon,lat,altitude,range,category,group,short_name,hint
46,http://fr.dbpedia.org/resource/Col_du_Pilon,Col du Pilon,6.88291,43.6852,780.0,Préalpes de Castellane,col,3,Col du Pilon,Préalpes de Castellane
47,http://fr.dbpedia.org/resource/Pas_de_la_Faye,Pas de la Faye,6.8376,43.7114,981.0,Préalpes de Castellane,col,3,Pas de la Faye,Préalpes de Castellane
48,http://fr.dbpedia.org/resource/Col_de_la_Placette,Col de la Placette,5.65833,45.3297,587.0,Chartreuse,col,3,Col de la Placette,Chartreuse
49,http://fr.dbpedia.org/resource/Col_des_Égaux,Col des Égaux,5.81167,45.4442,958.0,Chartreuse,col,3,Col des Égaux,Chartreuse
50,http://fr.dbpedia.org/resource/Col_du_Bonhomme_(Alpes),Col du Bonhomme (Alpes),6.70667,45.735,2329.0,Mont-Blanc,col,3,Col du Bonhomme,Mont-Blanc
51,http://fr.dbpedia.org/resource/Col_du_Corbier,Col du Corbier,6.64444,46.2836,1237.0,Chablais,col,3,Col du Corbier,Chablais
52,http://fr.dbpedia.org/resource/Col_du_Mollard,Col du Mollard,6.33667,45.2103,1630.0,Arves,col,3,Col du Mollard,Arves
53,http://fr.dbpedia.org/resource/Col_d'Ey,Col d'Ey,5.27778,44.3128,718.0,Baronnies,col,3,Col d'Ey,Baronnies
54,http://fr.dbpedia.org/resource/Col_de_la_Ponsonnière,Col de la Ponsonnière,6.4661,45.0547,2613.0,Cerces,col,3,Col de la Ponsonnière,Cerces
55,http://fr.dbpedia.org/resource/Col_des_Aravis,Col des Aravis,6.46472,45.8725,1486.0,Aravis,col,0,Col des Aravis,Aravis
56,http://fr.dbpedia.org/resource/Col_du_Petit-Saint-Bernard,Col du Petit-Saint-Bernard,6.88395,45.6803,2188.0,Mont-Blanc,col,0,Col du Petit-Saint-Bernard,Mont-Blanc
57,http://fr.dbpedia.org/resource/Col_de_la_Colombière,Col de la Colombière,6.47556,45.9922,1613.0,Bornes,col,3,Col de la Colombière,Bornes
58,http://fr.dbpedia.org/resource/Col_de_Granon,Col de Granon,6.61111,44.9628,2413.0,Cerces,col,3,Col de Granon,Cerces
59,http://fr.dbpedia.org/resource/Col_de_Joux_Plane,Col de Joux Plane,6.71278,46.1297,1691.0,Chablais,col,0,Col de Joux Plane,Chablais
60,http://fr.dbpedia.org/resource/Col_de_Manse,Col de Manse,6.13176,44.6115,1269.0,Écrins,col,3,Col de Manse,Écrins
61,http://fr.dbpedia.org/resource/Col_de_Vence_(Alpes-Maritimes),Col de Vence,7.07528,43.7606,962.0,Préalpes de Castellane,col,0,Col de Vence,Préalpes de Castellane
62,http://fr.dbpedia.org/resource/Col_de_l'Échelle,Col de l'Échelle,6.6569,45.0264,1762.0,Cerces,col,2,Col de l'Échelle,Cerces
63,http://fr.dbpedia.org/resource/Col_du_Fau,Col du Fau,5.62606,44.9062,899.0,Vercors,col,3,Col du Fau,Vercors
64,http://fr.dbpedia.org/resource/Col_du_Festre,Col du Festre,5.85843,44.6671,1442.0,Dévoluy,col,3,Col du Festre,Dévoluy
65,http://fr.dbpedia.org/resource/Col_du_Noyer,Col du Noyer,5.98519,44.6919,1664.0,Dévoluy,col,3,Col du Noyer,Dévoluy
66,http://fr.dbpedia.org/resource/Col_de_Murs,Col de Murs,5.22639,43.9767,627.0,Monts de Vaucluse,col,3,Col de Murs,Monts de Vaucluse
67,http://fr.dbpedia.org/resource/Col_de_Restefond,Col de Restefond,6.80861,44.3364,2680.0,Mercantour,col,3,Col de Restefond,Mercantour
68,http://fr.dbpedia.org/resource/Col_de_Turini,Col de Turini,7.3917,43.9778,1604.0,Préalpes de Nice,col,0,Col de Turini,Préalpes de Nice
69,http://fr.dbpedia.org/resource/Col_de_Valante,Col de Valante,7.07,44.68,2815.0,Alpes cottiennes,col,1,Col de Valante,Alpes cottiennes
70,http://fr.dbpedia.org/resource/Col_de_la_Lombarde,Col de la Lombarde,7.15,44.2028,2351.0,Mercantour,col,2,Col de la Lombarde,Mercantour
71,http://fr.dbpedia.org/resource/Col_de_la_Machine,Col de la Machine,5.33389,44.9761,1011.0,Vercors,col,3,Col de la Machine,Vercors
72,http://fr.dbpedia.org/resource/Col_des_Champs,Col des Champs,6.70139,44.1781,2089.0,Pelat,col,3,Col des Champs,Pelat
73,http://fr.dbpedia.org/resource/Col_des_Moises,Col des Moises,6.46694,46.2775,1121.0,Chablais,col,3,Col des Moises,Chablais
74,http://fr.dbpedia.org/resource/Faux_col_de_Restefond,Faux col de Restefond,6.80139,44.3369,2656.0,Mercantour,col,3,Faux col de Restefond,Mercantour
75,http://fr.dbpedia.org/resource/Col_de_Balme,Col de Balme,6.96944,46.0272,2191.0,Mont-Blanc,col,3,Col de Balme,Mont-Blanc
76,http://fr.dbpedia.org/resource/Col_de_Cerise,Col de Cerise,7.28417,44.1417,2543.0,Mercantour,col,3,Col de Cerise,Mercantour
77,http://fr.dbpedia.org/resource/Col_de_Fenestre,Col de Fenestre,7.36083,44.1161,2474.0,Mercantour,col,2,Col de Fenestre,Mercantour
78,http://fr.dbpedia.org/resource/Col_de_la_Pisse,Col de la Pisse,6.17944,44.7125,2354.0,Écrins,col,3,Col de la Pisse,Écrins
79,http://fr.dbpedia.org/resource/Col_du_Viallet,Col du Viallet,6.15861,44.705,2240.0,Écrins,col,3,Col du Viallet,Écrins
80,http://fr.dbpedia.org/resource/Col_d'Urine,Col d'Urine,7.00444,44.7939,2525.0,Alpes cottiennes,col,3,Col d'Urine,Alpes cottiennes
81,http://fr.dbpedia.org/resource/Col_de_Romme,Col de Romme,6.57389,46.03,1297.0,Aravis,col,3,Col de Romme,Aravis
82,http://fr.dbpedia.org/resource/Col_de_la_Cluse,Col de la Cluse,5.85917,45.4539,1169.0,Chartreuse,col,3,Col de la Cluse,Chartreuse
83,http://fr.dbpedia.org/resource/Col_de_la_Colle-Saint-Michel,Col de la Colle-Saint-Michel,6.59333,44.0467,1431.0,Préalpes de Castellane,col,3,Col de la Colle-Saint-Michel,Préalpes de Castellane
84,http://fr.dbpedia.org/resource/Col_d'Ambin,Col d'Ambin,6.88,45.1347,2899.0,Mont-Cenis,col,3,Col d'Ambin,Mont-Cenis
85,http://fr.dbpedia.org/resource/Col_de_la_Ruchère,Col de la Ruchère,5.79806,45.3864,1407.0,Chartreuse,col,3,Col de la Ruchère,Chartreuse
86,http://fr.dbpedia.org/resource/Col_du_Petit_Mont-Cenis,Col du Petit Mont-Cenis,6.86528,45.2106,2183.0,Mont-Cenis,col,3,Col du Petit Mont-Cenis,Mont-Cenis
87,http://fr.dbpedia.org/resource/Col_Saint-Martin,Col Saint-Martin,7.22139,44.0708,1503.0,Mercantour,col,3,Col Saint-Martin,Mercantour
88,http://fr.dbpedia.org/resource/Col_de_Braus,Col de Braus,7.39889,43.8728,1002.0,Préalpes de Nice,col,3,Col de Braus,Préalpes de Nice
89,http://fr.dbpedia.org/resource/Col_de_Castillon,Col de Castillon,7.46083,43.8392,728.0,Préalpes de Nice,col,3,Col de Castillon,Préalpes de Nice
90,http://fr.dbpedia.org/resource/Col_de_Cou_(Barme),Col de Cou (Barme),6.79306,46.15,1921.0,Chablais,col,3,Col de Cou,Chablais
91,http://fr.dbpedia.org/resource/Col_de_Mary,Col de Mary,6.88639,44.5522,2641.0,Chambeyron,col,3,Col de Mary,Chambeyron
92,http://fr.dbpedia.org/resource/Col_de_la_Couillole,Col de la Couillole,7.02278,44.1,1678.0,Mercantour,col,3,Col de la Couillole,Mercantour
