,fact,coords,year,location,country,lon,lat,city,lng
78,Fondation du Bauhaus (Weimar),"50° 58′ 59″ N, 11° 19′ 01″ E",1919,Weimar,Allemagne,11.316944444444443,50.98305555555556,Fondation du Bauhaus (Weimar) (1919),11.316944444444443
80,Premier essai atomique du Projet Manhattan,"33° 40′ 38″ N, 106° 28′ 31″ W",1945,Alamogordo,USA,-106.47527777777778,33.67722222222222,Premier essai atomique du Projet Manhattan (1945),-106.47527777777778
81,Découverte de la structure de l'ADN (Cambridge),"52° 12′ 33,35″ N, 0° 05′ 31,24″ E",1953,Cambridge,USA,0.091944,52.209167,Découverte de la structure de l'ADN (Cambridge) (1953),0.091944
82,Création de la Ford Motor Company,"42° 22′ 09″ N, 83° 03′ 56″ W",1903,Detroit,USA,-83.06555555555555,42.369166666666665,Création de la Ford Motor Company (1903),-83.06555555555555
83,Premier essai du TGV (Belfort),"47° 38′ 17″ N, 6° 51′ 46″ E",1972,Belfort,France,6.862777777777778,47.63805555555555,Premier essai du TGV (Belfort) (1972),6.862777777777778
84,Accords du Latran,"41° 53′ 19″ N, 12° 29′ 12″ E",1929,Rome,Italie,12.486666666666666,41.88861111111111,Accords du Latran (1929),12.486666666666666
85,Départ de la Croisière Jaune,"33° 53′ 23″ N, 35° 30′ 01″ E",1931,Beyrouth,Liban,35.500277777777775,33.88972222222222,Départ de la Croisière Jaune (1931),35.500277777777775
86,Guerre du Rif,"35° 00′ N, 4° 00′ W",1921-1926,Rif,Maroc,-4.0,35.0,Guerre du Rif (1921-1926),-4.0
87,Attaque de Pearl Harbor,"21° 21′ 54″ N, 157° 57′ 00″ W",1941,Pearl Harbor,USA,-157.95,21.365000000000002,Attaque de Pearl Harbor (1941),-157.95
88,Guerre des Malouines,"51° 45′ S, 59° 00′ W",1982,,Iles Malouines,-59.0,-51.75,Guerre des Malouines (1982),-59.0
89,Conférence de Bandung,"6°54′43″ S, 107°36′35″ E",1955,Bandung,Indonésie,107.60972222222222,-6.911944444444445,Conférence de Bandung (1955),107.60972222222222
90,Accords de Bretton Woods,"44° 15′ 29″ N, 71° 26′ 28″ W",1944,Bretton Woods,USA,-71.44111111111111,44.25805555555556,Accords de Bretton Woods (1944),-71.44111111111111
91,Traité de Maastricht,"50° 51′ 00″ N, 5° 41′ 00″ E",1992,Maastricht,Pays-Bas,5.683333333333334,50.85,Traité de Maastricht (1992),5.683333333333334
