,city,country,lat,lon,pop,group,pid
39,Lobamba,Eswatini,-26.4167,31.1667,1119000.0,2,39
40,Vilnius,Lituanie,54.6833,25.2833,2859709.0,1,40
41,Amsterdam,Pays-Bas,52.3667,4.9,17000059.0,0,41
42,Maputo,Mozambique,-25.9667,32.5833,24692144.0,1,42
43,Koutaïssi,Géorgie,42.25,42.7,3720400.0,1,43
44,Berlin,Allemagne,52.5167,13.3833,82175700.0,0,44
45,Copenhague,Danemark,55.6761,12.5683,5707251.0,0,45
46,Ville de Saint-Marin,Saint-Marin,43.9346,12.4473,33020.0,2,46
47,Putrajaya,Malaisie,2.9431,101.699,28334.0,1,47
48,Beyrouth,Liban,33.8869,35.5131,6184701.0,1,48
49,Malabo,Guinée équatoriale,3.75,8.7737,1222442.0,1,49
50,Sri Jayawardenapura Kotte,Sri Lanka,6.910830000000002,79.8878,0.0,1,50
51,Koweït,Koweït,29.3697,47.9783,4348395.0,0,51
52,Sucre,Bolivie,-19.05,-65.25,11410651.0,1,52
53,Philipsburg,Saint-Martin,18.0237,-63.0458,0.0,2,53
54,Accra,Ghana,5.55,-0.2,27043093.0,1,54
55,Berne,Suisse,46.95,7.43958,8341000.0,1,55
56,Ottawa,Canada,45.4167,-75.6833,36286425.0,1,56
57,Pristina,Kosovo,42.6667,21.1667,1859203.0,1,57
58,Amman,Jordanie,31.9497,35.9328,9813095.0,1,58
59,Djibouti,Djibouti,11.5883,43.145,828324.0,0,59
60,Saint-Domingue,République dominicaine,18.4667,-69.95,10075045.0,1,60
61,Asuncion,Paraguay,-25.2667,-57.6333,6783272.0,1,61
62,Washington,États-Unis,38.9047,-77.0164,324720797.0,0,62
63,Belgrade,Serbie,44.8167,20.4667,7041599.0,0,63
64,Riga,Lettonie,56.9489,24.1064,1973700.0,1,64
65,Caracas,Venezuela,10.5,-66.9167,0.0,0,65
66,Abou Dabi,Émirats arabes unis,24.4667,54.3667,5779760.0,0,66
67,Funafuti,Tuvalu,-8.5152,179.183,10640.0,0,67
68,Djouba,Soudan du Sud,4.85,31.6,12340000.0,1,68
69,Doha,Qatar,25.2867,51.5333,2383705.0,0,69
70,Dakar,Sénégal,14.6928,-17.4467,13567338.0,0,70
71,Wellington,Nouvelle-Zélande,-41.2889,174.77700000000004,0.0,0,71
72,Castries,Sainte-Lucie,14.0167,-60.9833,0.0,2,72
73,Naypyidaw,Birmanie,19.75,96.1,0.0,1,73
74,Nouakchott,Mauritanie,18.1,-15.95,4067564.0,1,74
75,Quito,Équateur,-0.233333,-78.5167,16144000.0,0,75
76,Bloemfontein,Afrique du Sud,-29.1,26.2167,54956900.0,1,76
77,Maseru,Lesotho,-29.31,27.48,2067000.0,1,77
78,Bagdad,Irak,33.3333,44.3833,37056169.0,0,78
79,Kinshasa,République démocratique du Congo,-4.325,15.3222,81680000.0,0,79
80,Nairobi,Kenya,-1.28333,36.65,45010056.0,0,80
81,Oslo,Norvège,59.95,10.75,5214900.0,1,81
82,Zagreb,Croatie,45.8167,15.9833,4190700.0,1,82
83,Jérusalem,Israël,31.7833,35.2167,8541000.0,0,83
84,Asmara,Érythrée,15.3333,38.9333,6380803.0,1,84
85,Ljubljana,Slovénie,46.0556,14.5083,2063077.0,1,85
86,Majuro,Îles Marshall,7.0666699999999985,171.267,72191.0,2,86
87,Antananarivo,Madagascar,-18.9333,47.5167,22434363.0,1,87
88,Libreville,Gabon,0.39,9.45,1475000.0,0,88
89,Bruxelles,Belgique,50.85,4.35,0.0,1,89
90,Tokyo,Japon,35.6833,139.683,0.0,0,90
91,Panama,Panama,8.98333,-79.5167,3929141.0,1,91
92,Kiev,Ukraine,50.45,30.5233,42539010.0,0,92
93,Oulan-Bator,Mongolie,47.9167,106.917,3081677.0,0,93
94,Dacca,Bangladesh,23.7,90.3667,168957745.0,1,94
95,Moscou,Russie,55.7517,37.6178,144192450.0,0,95
96,Varsovie,Pologne,52.2333,21.0167,38483957.0,0,96
97,Bamako,Mali,12.65,-8.0,0.0,1,97
98,Bogota,Colombie,4.59806,-74.0758,48786100.0,0,98
99,Séoul,Corée du Sud,37.5667,126.967,50801405.0,0,99
100,Erevan,Arménie,40.1833,44.5167,2998600.0,1,100
101,Nukuʻalofa,Tonga,-21.1333,184.8,0.0,2,101
102,Douchanbé,Tadjikistan,38.5367,68.78,8610000.0,1,102
103,Kingston,Jamaïque,17.9833,-76.8,2950210.0,0,103
104,Manama,Bahreïn,26.2167,50.5833,1378000.0,1,104
105,Willemstad,Curaçao,12.1167,-68.9333,154843.0,1,105
106,Vienne,Autriche,48.2,16.3667,8725931.0,1,106
107,Tripoli,Libye,32.9022,13.1858,6411776.0,0,107
108,Honiara,Îles Salomon,-9.43509,159.95,523000.0,2,108
109,Thimphou,Bhoutan,27.4667,89.6417,742737.0,1,109
110,Port-Louis,Maurice,-20.1644,57.5041,1261208.0,1,110
111,Bakou,Azerbaïdjan,40.3953,49.8822,9754830.0,0,111
112,Tachkent,Ouzbékistan,41.2667,69.2167,31576400.0,1,112
113,Bujumbura,Burundi,-3.3833300000000004,29.3667,11178921.0,1,113
114,Aden,Yémen,12.8,45.0333,25408000.0,1,114
115,Bangkok,Thaïlande,13.75,100.467,67959000.0,0,115
116,Manille,Philippines,14.5833,121.0,0.0,0,116
117,Mogadiscio,Somalie,2.03333,45.35,12316895.0,0,117
118,Buenos Aires,Argentine,-34.6033,-58.3817,43417000.0,1,118
119,Georgetown,Guyana,6.8,-58.1667,735554.0,1,119
120,Sofia,Bulgarie,42.7,23.33,0.0,1,120
121,Bandar Seri Begawan,Brunei,4.8902800000000015,114.942,415717.0,1,121
122,Alger,Algérie,36.7667,3.21667,40400000.0,0,122
123,Paris,France,48.8567,2.3508,66736000.0,0,123
124,Oranjestad ,Aruba,12.519,-70.03699999999999,103400.0,2,124
125,Sanaa,Yémen,15.3483,44.2064,25408000.0,1,125
126,Kaboul,Afghanistan,34.5333,69.1667,32564342.0,0,126
127,Lomé,Togo,6.13194,1.22278,7552318.0,0,127
128,Madrid,Espagne,40.3833,-3.71667,0.0,0,128
129,Hanoï,Viêt Nam,21.0285,105.854,91700000.0,0,129
130,Freetown,Sierra Leone,8.48444,-13.2344,0.0,1,130
131,Lilongwe,Malawi,-13.9833,33.7833,16407000.0,1,131
132,Tallinn,Estonie,59.4372,24.7453,1315944.0,1,132
133,Andorre-la-Vieille,Andorre,42.5,1.5,85470.0,1,133
134,Kigali,Rwanda,-1.94389,30.0594,11262564.0,1,134
135,Podgorica,Monténégro,42.4413,19.2629,0.0,1,135
136,Mbabane,Eswatini,-26.3167,31.1333,1119000.0,2,136
137,Santiago,Chili,-33.45,-70.6667,18006407.0,0,137
138,Bratislava,Slovaquie,48.1439,17.1097,5426252.0,0,138
139,Victoria,Seychelles,-4.6167,55.45,92000.0,2,139
140,Kuala Lumpur,Malaisie,3.13333,101.683,28334.0,0,140
141,Canberra,Australie,-35.3075,149.124,0.0,1,141
142,Colombo,Sri Lanka,6.93444,79.8428,0.0,0,142
143,Astana,Kazakhstan,53.57682599667639,80.47632620147604,17693500.0,0,143
144,Pyongyang,Corée du Nord,39.0194,125.738,24895000.0,0,144
145,Managua,Nicaragua,12.1364,-86.2514,0.0,1,145
146,Dili,Timor oriental,-8.56667,125.567,0.0,2,146
147,Islamabad,Pakistan,33.43,73.04,201995540.0,0,147
148,San Salvador,Salvador,13.69,-89.19,6377195.0,0,148
149,Harare,Zimbabwe,-17.8639,31.0297,12973808.0,1,149
150,Riyad,Arabie saoudite,24.6333,46.7167,30770375.0,0,150
151,Tunis,Tunisie,36.8,10.1833,10982754.0,0,151
152,Téhéran,Iran,35.6961,51.4231,79200000.0,0,152
153,Palikir,Micronésie,6.91722,158.159,106104.0,1,153
154,Rabat,Maroc,34.0333,-6.84165,0.0,1,154
155,Tegucigalpa,Honduras,14.1,-87.2167,8249574.0,1,155
156,Minsk,Biélorussie,53.9,27.5667,9498700.0,1,156
157,Ouagadougou,Burkina Faso,12.3572,-1.53528,17322796.0,1,157
158,Paramaribo,Suriname,5.86667,-55.1667,573311.0,1,158
159,Pretoria,Afrique du Sud,-25.7461,28.1881,54956900.0,1,159
160,Brazzaville,République du Congo,-4.26778,15.2919,4662446.0,1,160
161,Roseau,Dominique,15.3014,-61.3883,72660.0,1,161
162,Port-au-Prince,Haïti,18.5333,-72.3333,10604000.0,0,162
163,Brasilia,Brésil,-15.7939,-47.8828,206440850.0,1,163
164,Lusaka,Zambie,-15.4167,28.2833,16212000.0,1,164
165,Bridgetown,Barbade,13.1058,-59.6131,0.0,2,165
166,Nicosie,Chypre,35.1667,33.3667,1141166.0,2,166
167,Yaren,Nauru,-0.5477,166.921,0.0,2,167
168,Port Moresby,Papouasie-Nouvelle-Guinée,-9.51364,147.148,7059653.0,0,168
169,Nassau,Bahamas,25.06,-77.345,392718.0,2,169
170,Tbilissi,Géorgie,41.7167,44.7833,3720400.0,1,170
171,Damas,Syrie,33.5131,36.2919,17064854.0,0,171
172,San José,Costa Rica,9.93333,-84.0833,0.0,1,172
173,Stockholm,Suède,59.3294,18.0686,9920881.0,0,173
174,Rome,Italie,41.9,12.5,60674003.0,0,174
175,Porto-Novo,Bénin,6.49722,2.605,10879829.0,2,175
176,Guatemala,Guatemala,14.6133,-90.5353,15806675.0,0,176
177,Port-Vila,Vanuatu,-17.75,168.3,0.0,0,177
178,Lisbonne,Portugal,38.7138,-9.139389999999999,10341330.0,0,178
179,Le Caire,Égypte,30.05,31.2333,85783.0,0,179
180,Kampala,Ouganda,0.31361100000000003,32.5811,0.0,1,180
181,Mexico,Mexique,19.4333,-99.1333,119530753.0,0,181
182,Belmopan,Belize,17.2514,-88.7669,368310.0,1,182
183,La Havane,Cuba,23.1333,-82.3833,0.0,0,183
184,Gaborone,Botswana,-24.6581,25.9122,0.0,1,184
185,Pékin ,Chine ,39.9064,116.383,1376049000.0,0,185
186,Singapour ,Singapour ,1.2833299999999999,103.927,5610000.0,0,186
187,Helsinki,Finlande,60.170832999999995,24.9375,0.0,0,187
188,Athènes,Grèce,37.983971999999994,23.727806,0.0,1,188
189,Jean,Jack,31.14307959377555,38.073203331468335,100.0,0,189
