Versailles
Issy
L'Isle-Adam
Condécourt
Dampierre
Saint-Germain-en-Laye
Chantilly
Grand Trianon
Hameau de la Reine
Ambleville
Chantilly
Ermenonville
Méréville
Amboise
Chenonceau
Rambouillet
Villandry
Vaux-le-Vicomte
Fontainebleau
Petit Trianon
Anet
Bagatelle
Cordès
Clagny
Jardin du Luxembourg
Tuileries
Sceaux
Parc Monceau
Courances
Gaillon
Meudon
Désert de Retz
Temple de l'Amour
Jardin de Versailles
Folie Saint-James
Jardin de la Louve
