,city,country,lat,lon,pop,group
48,Beyrouth,Liban,33.8869,35.5131,6184701.0,1
49,Malabo,Guinée équatoriale,3.75,8.7737,1222442.0,1
50,Sri Jayawardenapura Kotte,Sri Lanka,6.910830000000001,79.8878,,1
51,Koweït,Koweït,29.3697,47.9783,4348395.0,0
52,Sucre,Bolivie,-19.05,-65.25,11410651.0,1
53,Philipsburg,Saint-Martin,18.0237,-63.0458,,2
54,Accra,Ghana,5.55,-0.2,27043093.0,1
55,Berne,Suisse,46.95,7.43958,8341000.0,1
56,Ottawa,Canada,45.4167,-75.6833,36286425.0,1
57,Pristina,Kosovo,42.6667,21.1667,1859203.0,1
58,Amman,Jordanie,31.9497,35.9328,9813095.0,1
59,Djibouti,Djibouti,11.5883,43.145,828324.0,0
60,Saint-Domingue,République dominicaine,18.4667,-69.95,10075045.0,1
61,Asuncion,Paraguay,-25.2667,-57.6333,6783272.0,1
62,Washington,États-Unis,38.9047,-77.0164,324720797.0,0
63,Belgrade,Serbie,44.8167,20.4667,7041599.0,0
64,Riga,Lettonie,56.9489,24.1064,1973700.0,1
65,Caracas,Venezuela,10.5,-66.9167,,0
66,Abou Dabi,Émirats arabes unis,24.4667,54.3667,5779760.0,0
67,Funafuti,Tuvalu,-8.5152,179.183,10640.0,0
68,Djouba,Soudan du Sud,4.85,31.6,12340000.0,1
69,Doha,Qatar,25.2867,51.5333,2383705.0,0
70,Dakar,Sénégal,14.6928,-17.4467,13567338.0,0
71,Wellington,Nouvelle-Zélande,-41.2889,174.77700000000002,,0
72,Castries,Sainte-Lucie,14.0167,-60.9833,,2
73,Naypyidaw,Birmanie,19.75,96.1,,1
74,Nouakchott,Mauritanie,18.1,-15.95,4067564.0,1
75,Quito,Équateur,-0.23333299999999998,-78.5167,16144000.0,0
76,Bloemfontein,Afrique du Sud,-29.1,26.2167,54956900.0,1
77,Maseru,Lesotho,-29.31,27.48,2067000.0,1
78,Bagdad,Irak,33.3333,44.3833,37056169.0,0
79,Kinshasa,République démocratique du Congo,-4.325,15.3222,81680000.0,0
80,Nairobi,Kenya,-1.2833299999999999,36.65,45010056.0,0
81,Oslo,Norvège,59.95,10.75,5214900.0,1
82,Zagreb,Croatie,45.8167,15.9833,4190700.0,1
83,Jérusalem,Israël,31.7833,35.2167,8541000.0,0
84,Asmara,Érythrée,15.3333,38.9333,6380803.0,1
85,Ljubljana,Slovénie,46.0556,14.5083,2063077.0,1
86,Majuro,Îles Marshall,7.066669999999999,171.267,72191.0,2
87,Antananarivo,Madagascar,-18.9333,47.5167,22434363.0,1
88,Libreville,Gabon,0.39,9.45,1475000.0,0
89,Bruxelles,Belgique,50.85,4.35,,1
90,Tokyo,Japon,35.6833,139.683,,0
91,Panama,Panama,8.98333,-79.5167,3929141.0,1
92,Kiev,Ukraine,50.45,30.5233,42539010.0,0
93,Oulan-Bator,Mongolie,47.9167,106.917,3081677.0,0
94,Dacca,Bangladesh,23.7,90.3667,168957745.0,1
95,Moscou,Russie,55.7517,37.6178,144192450.0,0
96,Varsovie,Pologne,52.2333,21.0167,38483957.0,0
97,Bamako,Mali,12.65,-8.0,,1
98,Bogota,Colombie,4.59806,-74.0758,48786100.0,0
99,Séoul,Corée du Sud,37.5667,126.96700000000001,50801405.0,0
100,Erevan,Arménie,40.1833,44.5167,2998600.0,1
101,Nukuʻalofa,Tonga,-21.1333,184.8,,2
102,Douchanbé,Tadjikistan,38.5367,68.78,8610000.0,1
103,Kingston,Jamaïque,17.9833,-76.8,2950210.0,0
104,Manama,Bahreïn,26.2167,50.5833,1378000.0,1
105,Willemstad,Curaçao,12.1167,-68.9333,154843.0,1
106,Vienne,Autriche,48.2,16.3667,8725931.0,1
107,Tripoli,Libye,32.9022,13.1858,6411776.0,0
108,Honiara,Îles Salomon,-9.435089999999999,159.95,523000.0,2
109,Thimphou,Bhoutan,27.4667,89.6417,742737.0,1
110,Port-Louis,Maurice,-20.1644,57.5041,1261208.0,1
111,Bakou,Azerbaïdjan,40.3953,49.8822,9754830.0,0
112,Tachkent,Ouzbékistan,41.2667,69.2167,31576400.0,1
113,Bujumbura,Burundi,-3.3833300000000004,29.3667,11178921.0,1
114,Aden,Yémen,12.8,45.0333,25408000.0,1
115,Bangkok,Thaïlande,13.75,100.46700000000001,67959000.0,0
116,Manille,Philippines,14.5833,121.0,,0
117,Mogadiscio,Somalie,2.03333,45.35,12316895.0,0
118,Buenos Aires,Argentine,-34.6033,-58.3817,43417000.0,1
119,Georgetown,Guyana,6.8,-58.1667,735554.0,1
120,Sofia,Bulgarie,42.7,23.33,,1
121,Bandar Seri Begawan,Brunei,4.890280000000001,114.94200000000001,415717.0,1
122,Alger,Algérie,36.7667,3.21667,40400000.0,0
123,Paris,France,48.8567,2.3508,66736000.0,0
124,Oranjestad ,Aruba,12.519,-70.03699999999999,103400.0,2
125,Sanaa,Yémen,15.3483,44.2064,25408000.0,1
126,Kaboul,Afghanistan,34.5333,69.1667,32564342.0,0
127,Lomé,Togo,6.13194,1.22278,7552318.0,0
128,Madrid,Espagne,40.3833,-3.7166699999999997,,0
129,Hanoï,Viêt Nam,21.0285,105.854,91700000.0,0
130,Freetown,Sierra Leone,8.48444,-13.2344,,1
131,Lilongwe,Malawi,-13.9833,33.7833,16407000.0,1
132,Tallinn,Estonie,59.4372,24.7453,1315944.0,1
133,Andorre-la-Vieille,Andorre,42.5,1.5,85470.0,1
134,Kigali,Rwanda,-1.9438900000000001,30.0594,11262564.0,1
135,Podgorica,Monténégro,42.4413,19.2629,,1
136,Mbabane,Eswatini,-26.3167,31.1333,1119000.0,2
137,Santiago,Chili,-33.45,-70.6667,18006407.0,0
138,Bratislava,Slovaquie,48.1439,17.1097,5426252.0,0
