,name,lat,lon,population,country
230,Sacramento,38.5667,-121.4683,1854.698,United States
231,Beirut,33.872,35.5097,1846.0,Lebanon
232,San Jose,37.3021,-121.8489,1821.899,United States
233,Minsk,53.9,27.5666,1805.0,Belarus
234,Kyoto,35.03,135.75,1805.0,Japan
235,Barranquilla,10.96,-74.8,1798.0,Colombia
236,Orlando,28.4772,-81.3369,1776.841,United States
237,Shuyangzha,34.1299,118.7734,1770.0,China
238,Valencia,10.23,-67.98,1770.0,Venezuela
239,Hamburg,53.55,10.0,1757.0,Germany
240,Vadodara,22.31,73.18,1756.0,India
241,Manaus,-3.1,-60.0,1753.0,Brazil
242,Shangqiu,34.4504,115.65,1753.0,China
243,Wuxi,31.58,120.3,1749.0,China
244,Palembang,-2.98,104.75,1749.0,Indonesia
245,Brussels,50.8333,4.3333,1743.0,Belgium
246,Essen,51.45,7.0166,1742.135,Germany
247,Cleveland,41.4767,-81.6805,1730.363,United States
248,Bhopal,23.25,77.41,1727.0,India
249,Hohhot,40.82,111.66,1726.0,China
250,Pittsburgh,40.4396,-79.9763,1715.297,United States
251,Luoyang,34.68,112.4701,1715.0,China
252,Santos,-23.9537,-46.3329,1709.0,Brazil
253,Jingling,30.6501,113.16,1708.0,China
254,Warsaw,52.25,21.0,1707.0,Poland
255,Rabat,34.0253,-6.8361,1705.0,Morocco
256,Vitoria,-20.324,-40.366,1704.0,Brazil
257,Quito,-0.215,-78.5001,1701.0,Ecuador
258,Antananarivo,-18.9166,47.5166,1697.0,Madagascar
259,Coimbatore,11.0,76.95,1696.0,India
260,Daqing,46.58,125.0,1693.0,China
261,Lu'an,31.7503,116.48,1690.0,China
262,Sanzhou,30.82,108.4,1680.0,China
263,Budapest,47.5,19.0833,1679.0,Hungary
264,Turin,45.0704,7.67,1652.0,Italy
265,Suzhou,31.3005,120.62,1650.0,China
266,Ludhiana,30.9278,75.8723,1649.0,India
267,Cincinnati,39.1412,-84.506,1648.254,United States
268,Kumasi,6.69,-1.63,1646.0,Ghana
269,Manhattan,40.7834,-73.9662,1643.734,United States
270,Qiqihar,47.345,123.99,1641.0,China
271,Anshan,41.115,122.94,1639.0,China
272,Austin,30.3006,-97.7517,1638.716,United States
273,Zhongli,24.965,121.2168,1632.616,Taiwan
274,Handan,36.58,114.48,1631.0,China
275,Tai'an,36.2,117.1201,1629.0,China
276,Esfahan,32.7,51.7,1628.0,Iran
277,Kansas City,39.1239,-94.5541,1615.621,United States
278,Yaounde,3.8667,11.5167,1611.0,Cameroon
279,Shantou,23.37,116.67,1601.0,China
280,Agra,27.1704,78.015,1592.0,India
281,Zhanjiang,21.2,110.38,1590.0,China
282,La Paz,-16.498,-68.15,1590.0,Bolivia
283,Kalyan,19.2502,73.1602,1576.614,India
284,Abuja,9.0833,7.5333,1576.0,Nigeria
285,Harare,-17.8178,31.0447,1572.0,Zimbabwe
