Myre (Turquie)
Sardes
Ségeste
Sélinonte
Sébastopol
Tyndaris
Akrotiri (Santorin)
Histria (site archéologique)
Myrina (Mysie)
Pleuron (ville)
Stratonicée de Carie
Salone
Scepsis
Synœcisme
Aspendos
Panticapée
Doriskos
Pavlopetri
Amarynthos
Byllis
Filiates
Gravina in Puglia
Lato (Crète)
Butrint
Chéronée
Tyane
Naucratis
Ptolémaïs (Cyrénaïque)
Scillonte
Kastoria
Of
Temple d'Apollon à Bassae
Cassandréia
Cius
Dardanie (Asie Mineure)
Décélie
Doïran
Eresós
Cenchrées
Potidée
Skiathos
Tmoutarakan
Lentini
Marseille
Stratos (Étolie-Acarnanie)
Aigéai (Achaïe)
Glarentza
Vallée des Temples
Antioche de Pisidie
Apamée
Site archéologique de Troie
Abaé
Abdère (ville)
Abydos (Asie Mineure)
Actium
Aigos Potamos
Afyonkarahisar
Alexandrie
Alexandrie de Troade
Amathonte
Ambracie
Amphipolis
Athènes
Bursa
Byzance
Chios
Colosses
Constantinople
Corinthe
Crète
Delphes
Éphèse
Hérat
Kandahar
Mégare
Pergame
Philippes
Sidon
Syracuse
Barca
Magnésie du Méandre
Mégalopolis
Mistra
Pella
Tabaqat Fahil
Pise (Élide)
Ptolémaïs (Égypte)
Tyras
Negotino
Amasra
Avella
Aydıncık (Mersin)
Île de Berezan
Birecik
Enez
Médinet el-Fayoum
Galatone
Istanbul
Kemalpaşa (İzmir)
Kınık
Lebane
Niksar
Sulusaray
Tirebolu
Trani
Çatalca
Olbia (Libye)
Coronée
Œnoé
Téos (ville)
Némée
Panopée (ville)
Nymphaion (Crimée)
Cefalù
Sirmium
Eucratidia
Cibyra
Umm Qeis
Oropos
Crissa
Gythio
Zélée
Phanagoria
Ouranoupoli
Eion
Corcyre
Agrigente
Ancône
Bari
Batoumi
Beyrouth
Catane
Crotone
Délos
Ithaque
Locri
Messine
Milazzo
Naples
Nice
Olbia
Salerne
Skopje
Sozopol (ville)
Tarente
Thessalonique
Trabzon
Trapani
Varna (Bulgarie)
Adana
Anamur
Antioche
Antalya
Antibes
Azov
Begrâm
Benghazi
Bodrum
Canosa di Puglia
Caronia
Carpentras
Cernavodă
Constanța
Contessa Entellina
Drépane
Famagouste
Théodosie
Ereğli (Zonguldak)
Khodjent
Konya
Korčula
Larnaca
Mangalia
Nessebar (ville)
Niš
Obzor
Otrante
Paphos (ville)
Plovdiv
Pomorié
Simferopol
Taormine
Thyateira
Tobrouk
Tripoli (Liban)
Trogir
Ulcinj
Vis (ville)
Alexandrette
Izmir
Alaşehir
Amasya
Anapa
Assénovgrad
Aytos
Baltchik
Calimera
Enna
Gela
Giardini-Naxos
Giresun
Hvar
Kadıköy
Lapta
Licata (Italie)
Manisa
Mersin
Pitsounda
Rize
Sphactérie
Stari Grad (Split-Dalmatie)
Soudak
Taphnis
Termez
Eupatoria
Aptera (Grèce)
Mantinée
Megara Hyblaea
Sabata (ville)
Sinop
Aléria
Augusta (Italie)
Casabona (Italie)
Cirò
Cutro
Soukhoumi
Capizzi
Argyroúpoli (Crète)
Heloros
Véria (Grèce)
Iolcos
Gjirokastër
Phœnicè
Claros
Lébédos
Alabanda
Dymes
Phigalie
Rachae
Sambana
Sittace
Colchide
Clazomènes
Cnossos
Mycènes
Pylos
Sicyone
Sparte
Apollonia
Apollonie de Cyrène
Apollonie d'Illyrie
Dion (cité)
Gla
Héraclée (Lucanie)
Heraclea Lyncestis
Héracléa Minoa
Héraclée du Pont
Laodicée la Brûlée
Laodicée du Lycos
Marmaraereğlisi
Pyrgos (Crète)
Nysa (Anatolie)
Rhodes
Rhodes (ville)
Río (Grèce)
Argos (ville)
Cyzique
Dodone
Éleusis
Élis
Érythrées (Ionie)
Cnide
Messène
Milet
Ostie
Pergé
Priène
Samothrace
Thourioi
Xanthe (ville)
Antigonie (Chaonie)
Asinè
Gortyne
Aghia Triada
Idalion
Issos (ville)
Karphi
Lefkandi
Lysimacheia (Thrace)
Pandosia (Épire)
Soles (Cilicie)
Pythagoréion
Sougia
Érétrie
Lindos
Mopsueste
Skyros
Aï Khanoum
Phocée
Amphilochie
Œniadæ
Héracléion
Myonte
Sigée
Suq Wadi Barada
Bucéphalie
Corinthe antique
Anthédon (Béotie)
Anthédon (Palestine)
Aulis
Cyrène
Magne-Oriental
Lamía (ville)
Marathon (ville)
Oponte
Orchomène (Arcadie)
Orchomène (Béotie)
Salamine de Chypre
Salamine
Séleucie du Tigre
Séleucie de Pamphylie
Séleucie de Piérie
Siris (Lucanie)
Thèbes (Grèce)
Acharnes
Bilhorod-Dnistrovskyï
Calydon
Chalcédoine
Décapole (Proche-Orient)
Démétrias
Dorylée
Édesse (Osroène)
Sanctuaire d'Asclépios et théâtre d'Épidaure
Gagra
Gournia
Camiros
Matala
Nicomédie
Phaistos
Phères
Platées
Soles (Chypre)
Thespies
Cyrrhus (Syrie)
Artemita
Hamaxitos
Nikonion
Tégyres
Terina
Thronion
Aigion
Aphrodisias
Chalcis
Cumes
Durrës
Empúries
Kephissia
Korçë
Leucade
Lerne
Lezhë
Mytilène
Nicopolis d'Épire
Olympos (Turquie)
Olynthe
Paros
Patras
Le Pirée
Préveza
Sitía
Sybaris
Trikala
Æges
Vlora
Agrínio
Égira
Hélice (Achaïe)
Paestum
Saranda
Davlia
Didymes
Hermione (ville)
Himarë
Himère
Ialyssos
Labranda
Méthymne
Naupacte
Nauplie
Patara
Phaselis
Poliochni
Rhamnonte
Skópelos
Sofades
Stagire
Stobi
Trézène (ville)
Halicarnasse
Cadmée
Charax Spasinu
Élée (Éolide)
Cydonia (Grèce)
Limyra
Mallos (ville)
Olous
Phlionte
Kimmerikon
Parion
Telmessos
Merv
Tirynthe
Sestos
Circesium
Délion (Béotie)
Al Marj (ville)
Tylissos
Krannón
Méthone (Piérie)
Stymphale
Sývota
Viánnos
Kourion
Myndos
Chersonèse (ville)
Kassandra (dème)
Naxos (Sicile)
Náxos (ville)
Split
Thermos (Étolie)
Noto Antica
Eleftherna
Antandros
District de Tripoli
Milas (Muğla)
Lechaion
Trachis
Selge
Acanthos
Colophon (ville)
Lavrio
Zeugma (cité antique)
Hiérapolis
Olba (Cilicie)
Thémiscyre
Kalindoia
Nicopolis (Pont)
Oricum
Edremit
Kymi
Thyrée
Lépréon
Modon
Crénidès
Pydna
Éléonte
Casmènes
Chrysaorium
Brauron
Apamée (homonymie)
Apamée (Mésopotamie)
Apamée Kibotos
Arta
Arta (Grèce)
Cymé (Éolide)
Livadiá
Aigosthena
Amphissa
Assos
Patra
Pharsale (ville)
Igoumenítsa
Camarina
Caunos
Perperikon
Élée
Kaulon
Tanagra (cité antique)
Thèbe sous le Placos
Tégée
Théra (ancienne ville)
Phylakopi
Thorikos
Cition
Amorium
Lampsaque
Atarnée
Sillyon
