,name,population,lat,lon
86,GLAIRE,0.9,49.7168781678,4.9057121108
87,MAZERNY,0.1,49.610898748,4.61820857627
88,LES MAZURES,0.9,49.8968391326,4.63190460974
89,QUATRE-CHAMPS,0.2,49.4459378032,4.77673410789
90,RENNEVILLE,0.2,49.6508149655,4.13569086647
91,RETHEL,7.7,49.5131807048,4.3835241644
92,SUZANNE,0.1,49.5196448821,4.63904554401
93,VRIGNE-AUX-BOIS,3.5,49.7370150528,4.85605381662
94,ASTON,0.2,42.680832026,1.65945312513
95,BONAC-IRAZEIN,0.1,42.840844647,0.982612922888
96,LES BORDES-SUR-ARIZE,0.5,43.1130459282,1.36643495416
97,CARLA-BAYLE,0.8,43.1575348436,1.37254711167
98,CASTELNAU-DURBAN,0.4,42.9928317992,1.33850962777
99,DALOU,0.8,43.0288762332,1.64821776091
100,LACAVE,0.1,43.0470411913,1.01294653058
101,LACOURT,0.2,42.9330702659,1.17065014177
102,LEZAT-SUR-LEZE,2.3,43.280210332,1.34476803133
103,MOULIS,0.8,42.9438845213,1.09852869482
104,ORGIBET,0.2,42.9263246353,0.938509265904
105,REGAT,0.1,42.9885315709,1.88732041565
106,ROQUEFORT-LES-CASCADES,0.1,42.9610533574,1.74338927244
107,SEIX,0.8,42.8178331497,1.14814568291
108,SENCONAC,0.0,42.8128619696,1.71656632425
109,BOSSANCOURT,0.2,48.2832853612,4.61146739237
110,CHAPPES,0.30000000000000004,48.1659482698,4.25688351486
111,ERVY-LE-CHATEL,1.2,48.0557945163,3.90532960286
112,ISLE-AUMONT,0.5,48.2054661706,4.12228896976
113,ISLE-AUBIGNY,0.2,48.5438287791,4.28206755992
114,LHUITRE,0.30000000000000004,48.5811831935,4.27395119742
115,MEURVILLE,0.2,48.2042902297,4.60493225781
116,PERIGNY-LA-ROSE,0.1,48.55364742,3.62433153025
117,PRUSY,0.1,47.9739129756,4.05129486893
118,SAINT-HILAIRE-SOUS-ROMILLY,0.4,48.4978643652,3.65717692243
119,VAUPOISSON,0.1,48.5007015249,4.216312839
120,VILLY-EN-TRODES,0.30000000000000004,48.1969362165,4.38937663411
121,ANTUGNAC,0.30000000000000004,42.9622347688,2.21863246536
122,ARZENS,1.1,43.2008547509,2.20537916173
123,AUNAT,0.0,42.7889932939,2.10048727427
124,BELLEGARDE-DU-RAZES,0.2,43.1076849546,2.05088227839
125,BOUTENAC,0.7000000000000001,43.1464757563,2.79815661148
126,CASTANS,0.1,43.4141480376,2.48796143931
