,Unnamed: 0,admin,capital,city,country,iso2,lat,lng,population,population_proper,ranks,continent_code,continent
11,11,Azerbaïdjan,admin,Goranboy,Azerbaijan,AZ,40.610278,46.789722,7333.0,7333.0,604,AS,Asie
12,12,Azerbaïdjan,admin,Oğuz,Azerbaijan,AZ,41.07128,47.465284,6876.0,6876.0,12328,AS,Asie
13,13,Azerbaïdjan,admin,Zaqatala,Azerbaijan,AZ,41.631596,46.644791,0.0,,605,AS,Asie
14,14,Azerbaïdjan,admin,Mingəçevir,Azerbaijan,AZ,40.763947,47.059533,0.0,,12462,AS,Asie
15,15,Azerbaïdjan,admin,Xızı,Azerbaijan,AZ,40.905761,49.081268,0.0,,12755,AS,Asie
16,16,Azerbaïdjan,admin,Xırdalan,Azerbaijan,AZ,40.448085,49.755022,0.0,,606,AS,Asie
17,17,Azerbaïdjan,admin,Heydərabad,Azerbaijan,AZ,39.722857,44.848458,0.0,,607,AS,Asie
18,18,Azerbaïdjan,admin,Zəngilan,Azerbaijan,AZ,39.088401,46.6513,0.0,,2925,AS,Asie
19,19,Azerbaïdjan,admin,Ağstafa,Azerbaijan,AZ,41.114834,45.446825,0.0,,608,AS,Asie
20,20,Azerbaïdjan,admin,Ucar,Azerbaijan,AZ,40.51567100000001,47.654648,0.0,,2926,AS,Asie
21,21,Azerbaïdjan,admin,Göygöl,Azerbaijan,AZ,40.585838,46.318897,0.0,,609,AS,Asie
22,22,Azerbaïdjan,admin,Xocavənd,Azerbaijan,AZ,39.795464,47.109891,0.0,,610,AS,Asie
23,23,Azerbaïdjan,admin,Xaçmaz,Azerbaijan,AZ,41.464258,48.805652,0.0,,611,AS,Asie
24,24,Azerbaïdjan,admin,Kəlbəcər,Azerbaijan,AZ,40.109842,46.04446,0.0,,612,AS,Asie
25,25,Azerbaïdjan,admin,Yardımlı,Azerbaijan,AZ,38.907711,48.240521,0.0,,13650,AS,Asie
26,26,Azerbaïdjan,admin,Daşkəsən,Azerbaijan,AZ,40.523932,46.081863,0.0,,2755,AS,Asie
27,27,Azerbaïdjan,admin,Kürdəmir,Azerbaijan,AZ,40.345318,48.150847,0.0,,13651,AS,Asie
28,28,Azerbaïdjan,admin,Hacıqabul,Azerbaijan,AZ,40.038743,48.94286500000001,0.0,,613,AS,Asie
29,29,Azerbaïdjan,admin,Qax,Azerbaijan,AZ,41.418259,46.92043,0.0,,614,AS,Asie
30,30,Azerbaïdjan,admin,Qazax,Azerbaijan,AZ,41.09246,45.365608,0.0,,12837,AS,Asie
31,31,Azerbaïdjan,admin,Tərtər,Azerbaijan,AZ,40.341794,46.932418,0.0,,615,AS,Asie
32,32,Azerbaïdjan,admin,Biləsuvar,Azerbaijan,AZ,39.458333,48.545,0.0,,11930,AS,Asie
33,33,Azerbaïdjan,admin,Şəmkir,Azerbaijan,AZ,40.82975,46.017804,0.0,,2756,AS,Asie
34,34,Azerbaïdjan,admin,Qubadlı,Azerbaijan,AZ,39.344407,46.581834,0.0,,2757,AS,Asie
35,35,Azerbaïdjan,admin,Quba,Azerbaijan,AZ,41.361077,48.513411,0.0,,616,AS,Asie
36,36,Azerbaïdjan,admin,Qusar,Azerbaijan,AZ,41.42749600000001,48.4302,0.0,,12986,AS,Asie
38,38,Azerbaïdjan,admin,Füzuli,Azerbaijan,AZ,39.60094,47.14529,0.0,,617,AS,Asie
39,39,Azerbaïdjan,admin,Cəbrayıl,Azerbaijan,AZ,39.399173,47.028345,0.0,,13487,AS,Asie
40,40,Azerbaïdjan,admin,Salyan,Azerbaijan,AZ,39.596214,48.984786,0.0,,618,AS,Asie
41,41,Azerbaïdjan,admin,Xocalı,Azerbaijan,AZ,39.912973,46.790284,0.0,,619,AS,Asie
42,42,Azerbaïdjan,admin,Astara,Azerbaijan,AZ,38.455977,48.87498,0.0,,620,AS,Asie
44,44,Azerbaïdjan,admin,Ağdaş,Azerbaijan,AZ,40.646987,47.473803,0.0,,14349,AS,Asie
45,45,Azerbaïdjan,admin,Lerik,Azerbaijan,AZ,38.77388300000001,48.414969,0.0,,2759,AS,Asie
46,46,Azerbaïdjan,admin,Masallı,Azerbaijan,AZ,39.027781,48.670276,0.0,,2927,AS,Asie
48,48,Azerbaïdjan,admin,Beyləqan,Azerbaijan,AZ,39.775556,47.618611,0.0,,2928,AS,Asie
49,49,Azerbaïdjan,admin,Ağsu,Azerbaijan,AZ,40.569167,48.396476,0.0,,2760,AS,Asie
50,50,Azerbaïdjan,admin,Qobustan,Azerbaijan,AZ,40.533601,48.928193,0.0,,623,AS,Asie
51,51,Azerbaïdjan,admin,Bərdə,Azerbaijan,AZ,40.375768,47.126191,0.0,,624,AS,Asie
52,52,Azerbaïdjan,admin,Ordubad,Azerbaijan,AZ,38.90961,46.022737,0.0,,2761,AS,Asie
53,53,Azerbaïdjan,admin,Balakən,Azerbaijan,AZ,41.726258,46.40478,0.0,,12987,AS,Asie
54,54,Azerbaïdjan,admin,İsmayıllı,Azerbaijan,AZ,40.784846,48.151409,0.0,,2762,AS,Asie
55,55,Azerbaïdjan,admin,Şuşa,Azerbaijan,AZ,39.760057,46.749893,0.0,,16242,AS,Asie
56,56,Azerbaïdjan,admin,Samux,Azerbaijan,AZ,40.764854,46.408678,0.0,,17958,AS,Asie
57,57,Azerbaïdjan,admin,Ağcabədi,Azerbaijan,AZ,40.05014600000001,47.459367,0.0,,13364,AS,Asie
58,58,Azerbaïdjan,admin,Ağdam,Azerbaijan,AZ,39.99096,46.927356,0.0,,625,AS,Asie
59,59,Azerbaïdjan,admin,Dəvəçi,Azerbaijan,AZ,41.201166,48.987117,0.0,,626,AS,Asie
60,60,Azerbaïdjan,admin,İmişli,Azerbaijan,AZ,39.872398,48.064928,0.0,,2763,AS,Asie
61,61,Azerbaïdjan,admin,Saatlı,Azerbaijan,AZ,39.932137,48.368919,0.0,,12756,AS,Asie
62,62,Azerbaïdjan,admin,Naxçıvan,Azerbaijan,AZ,39.208846,45.411887,0.0,,12710,AS,Asie
63,63,Azerbaïdjan,admin,Siyəzən,Azerbaijan,AZ,41.077538,49.112573,0.0,,13488,AS,Asie
64,64,Azerbaïdjan,admin,Şahbuz,Azerbaijan,AZ,39.407222,45.573889,0.0,,627,AS,Asie
65,65,Azerbaïdjan,admin,Cəlilabad,Azerbaijan,AZ,39.209633,48.491862,0.0,,628,AS,Asie
66,66,Azerbaïdjan,admin,Sabirabad,Azerbaijan,AZ,40.008688,48.47701,0.0,,629,AS,Asie
67,67,Azerbaïdjan,admin,Neftçala,Azerbaijan,AZ,39.376798,49.246998,0.0,,13365,AS,Asie
68,68,Azerbaïdjan,admin,Laçın,Azerbaijan,AZ,39.643401,46.546206,0.0,,16243,AS,Asie
69,69,Azerbaïdjan,admin,Naftalan,Azerbaijan,AZ,40.508208,46.82030200000001,0.0,,630,AS,Asie
70,70,Azerbaïdjan,admin,Zərdab,Azerbaijan,AZ,40.219906,47.709968,0.0,,12911,AS,Asie
71,71,Azerbaïdjan,admin,Şərur,Azerbaijan,AZ,39.554358,44.982597,0.0,,12711,AS,Asie
72,72,Azerbaïdjan,admin,Qıvraq,Azerbaijan,AZ,39.399389,45.11513,0.0,,17959,AS,Asie
1,1,Myanmar,admin,Mandalay,Burma,MM,21.969673,96.087381,1300000.0,1034000.0,2676,AS,Asie
2,2,Myanmar,primary,Nay Pyi Taw,Burma,MM,19.745,96.129722,930000.0,194824.0,2764,AS,Asie
3,3,Myanmar,admin,Mawlamyine,Burma,MM,16.490514,97.628248,438861.0,361637.0,17855,AS,Asie
4,4,Myanmar,admin,Bago,Burma,MM,17.335214,96.481351,284318.0,244376.0,17856,AS,Asie
6,6,Myanmar,admin,Pathein,Burma,MM,16.779188,94.732123,237089.0,194940.0,13489,AS,Asie
9,9,Myanmar,admin,Sittwe,Burma,MM,20.146241,92.898346,179032.0,177743.0,2929,AS,Asie
12,12,Myanmar,admin,Taunggyi,Burma,MM,20.789188,97.037755,160115.0,160115.0,12463,AS,Asie
14,14,Myanmar,admin,Dawei,Burma,MM,14.073749,98.194231,146212.0,136783.0,1,AS,Asie
15,15,Myanmar,admin,Myitkyina,Burma,MM,25.386411,97.394394,139100.0,90894.0,2766,AS,Asie
18,18,Myanmar,admin,Magway,Burma,MM,20.149557,94.932464,125973.0,96954.0,635,AS,Asie
23,23,Myanmar,admin,Sagaing,Burma,MM,21.879351,95.983889,78739.0,78739.0,2768,AS,Asie
28,28,Myanmar,admin,Hpa-an,Burma,MM,16.889533,97.634823,50000.0,50000.0,638,AS,Asie
33,33,Myanmar,admin,Haka,Burma,MM,22.644517,93.610762,20000.0,20000.0,17858,AS,Asie
34,34,Myanmar,admin,Loikaw,Burma,MM,19.677977,97.209754,17293.0,17293.0,2771,AS,Asie
37,37,Myanmar,primary,Rangoon,Burma,MM,16.805278,96.156111,0.0,,471,AS,Asie
0,0,Cambodge,primary,Phnom Penh,Cambodia,KH,11.56245,104.916006,1466000.0,1466000.0,16244,AS,Asie
1,1,Cambodge,admin,Battambang,Cambodia,KH,13.102713,103.198215,154773.0,150444.0,13653,AS,Asie
2,2,Cambodge,admin,Siem Reap,Cambodia,KH,13.361793,103.860556,109398.0,85000.0,14317,AS,Asie
3,3,Cambodge,admin,Kampong Cham,Cambodia,KH,11.993387,105.463502,83233.0,61750.0,2930,AS,Asie
4,4,Cambodge,admin,Kampong Chhnang,Cambodia,KH,12.25,104.666667,75244.0,56390.0,13654,AS,Asie
5,5,Cambodge,admin,Prey Veng,Cambodia,KH,11.486819,105.325334,74000.0,74000.0,2772,AS,Asie
6,6,Cambodge,admin,Pursat,Cambodia,KH,12.538778,103.919204,52476.0,13446.0,2773,AS,Asie
7,7,Cambodge,admin,Sisŏphŏn,Cambodia,KH,13.585876,102.973689,50302.0,23218.0,13366,AS,Asie
8,8,Cambodge,admin,Kampot,Cambodia,KH,10.61041,104.181448,50105.0,22691.0,639,AS,Asie
9,9,Cambodge,admin,Kampong Speu,Cambodia,KH,11.453321,104.520846,33231.0,33231.0,2931,AS,Asie
10,10,Cambodge,admin,Koh Kong,Cambodia,KH,11.615314,102.983798,33134.0,27436.0,640,AS,Asie
11,11,Cambodge,admin,Stung Treng,Cambodia,KH,13.525865,105.968302,29665.0,29665.0,641,AS,Asie
12,12,Cambodge,admin,Tbêng Méanchey,Cambodia,KH,13.807315,104.980455,24380.0,24380.0,16245,AS,Asie
13,13,Cambodge,admin,Svay Rieng,Cambodia,KH,11.087852,105.799354,23956.0,23956.0,2774,AS,Asie
14,14,Cambodge,admin,Kratie,Cambodia,KH,12.488113,106.018786,19975.0,19975.0,2932,AS,Asie
15,15,Cambodge,admin,Kampong Thom,Cambodia,KH,12.711122,104.888732,19951.0,19951.0,13655,AS,Asie
17,17,Cambodge,admin,Takeo,Cambodia,KH,10.99081,104.784984,15264.0,15264.0,12330,AS,Asie
18,18,Cambodge,admin,Sênmônoŭrôm,Cambodia,KH,12.455827,107.188109,7944.0,7944.0,2775,AS,Asie
19,19,Cambodge,admin,Suŏng,Cambodia,KH,11.911779,105.658208,0.0,,13656,AS,Asie
32,32,Cambodge,admin,Krong Kep,Cambodia,KH,10.482905,104.316721,0.0,,13658,AS,Asie
41,41,Cambodge,admin,Pailin,Cambodia,KH,12.848946,102.609283,0.0,,12989,AS,Asie
46,46,Cambodge,admin,Ban Lŭng,Cambodia,KH,13.739391,106.987268,0.0,,646,AS,Asie
58,58,Cambodge,admin,Ta Khmau,Cambodia,KH,11.483333,104.95,0.0,,649,AS,Asie
66,66,Cambodge,admin,Sihanoukville,Cambodia,KH,10.635917,103.501715,0.0,,13663,AS,Asie
72,72,Cambodge,admin,Sâmraông,Cambodia,KH,14.181747,103.517612,0.0,,12990,AS,Asie
0,0,Chine,admin,Shanghai,China,CN,31.222222,121.458056,14987000.0,14608512.0,655,AS,Asie
1,1,Chine,primary,Beijing,China,CN,39.928819,116.388869,11106000.0,7480601.0,12991,AS,Asie
