,Unnamed: 0,admin,capital,city,country,iso2,lat,lng,population,population_proper,ranks,continent_code,continent
11,11,Brésil,admin,Goiânia,Brazil,BR,-16.701028,-49.266793,2022000.0,1171195.0,1111,SA,Amérique du Sud
12,12,Brésil,admin,Manaus,Brazil,BR,-3.1133330000000004,-60.025278,1753000.0,1520244.0,1112,SA,Amérique du Sud
14,14,Brésil,admin,Vitória,Brazil,BR,-20.332179,-40.345011,1704000.0,312656.0,1253,SA,Amérique du Sud
18,18,Brésil,admin,Maceió,Brazil,BR,-9.652406,-35.722433,1186000.0,814431.0,1311,SA,Amérique du Sud
19,19,Brésil,admin,Natal,Brazil,BR,-5.80021,-35.210669,1088000.0,763043.0,900,SA,Amérique du Sud
20,20,Brésil,admin,São Luís,Brazil,BR,-2.532519,-44.296299,1038000.0,11385.0,901,SA,Amérique du Sud
21,21,Brésil,admin,Florianópolis,Brazil,BR,-27.590444,-48.57581,1023000.0,114566.0,1254,SA,Amérique du Sud
24,24,Brésil,admin,João Pessoa,Brazil,BR,-7.123742,-34.865646000000005,956000.0,650883.0,903,SA,Amérique du Sud
26,26,Brésil,admin,Teresina,Brazil,BR,-5.102887,-42.801549,907000.0,586721.0,1012,SA,Amérique du Sud
28,28,Brésil,admin,Cuiabá,Brazil,BR,-15.595999999999998,-56.097,806000.0,400287.0,905,SA,Amérique du Sud
29,29,Brésil,admin,Campo Grande,Brazil,BR,-20.45,-54.61666700000001,778000.0,597446.0,906,SA,Amérique du Sud
32,32,Brésil,admin,Aracaju,Brazil,BR,-10.916667,-37.066667,685356.0,490175.0,1372,SA,Amérique du Sud
41,41,Brésil,admin,Macapá,Brazil,BR,0.035158,-51.061633,499166.0,368397.0,1256,SA,Amérique du Sud
62,62,Brésil,admin,Pôrto Velho,Brazil,BR,-8.766667,-63.9,306180.0,272889.0,920,SA,Amérique du Sud
73,73,Brésil,admin,Rio Branco,Brazil,BR,-9.966667,-67.8,257642.0,257642.0,926,SA,Amérique du Sud
79,79,Brésil,admin,Palmas,Brazil,BR,-10.166944,-48.33277800000001,235315.0,196272.0,77,SA,Amérique du Sud
80,80,Brésil,admin,Boa Vista,Brazil,BR,2.820842,-60.671312,235150.0,169449.0,547,SA,Amérique du Sud
0,0,Chili,primary,Santiago,Chile,CL,-33.45,-70.666667,5720000.0,46611.0,1056,SA,Amérique du Sud
1,1,Chili,admin,Concepción,Chile,CL,-36.812969,-73.048457,889725.0,212003.0,1167,SA,Amérique du Sud
2,2,Chili,admin,Valparaíso,Chile,CL,-33.046983000000004,-71.607977,854000.0,15938.0,1057,SA,Amérique du Sud
4,4,Chili,admin,Antofagasta,Chile,CL,-23.652357,-70.395402,309832.0,281246.0,1376,SA,Amérique du Sud
6,6,Chili,admin,Temuco,Chile,CL,-38.739649,-72.598416,265901.0,238129.0,1058,SA,Amérique du Sud
8,8,Chili,admin,Rancagua,Chile,CL,-34.17083,-70.74444,233268.0,212695.0,1293,SA,Amérique du Sud
9,9,Chili,admin,Iquique,Chile,CL,-20.220358,-70.139131,227499.0,218525.0,1294,SA,Amérique du Sud
10,10,Chili,admin,Talca,Chile,CL,-35.426401,-71.655415,197479.0,175088.0,1295,SA,Amérique du Sud
11,11,Chili,admin,Arica,Chile,CL,-18.4746,-70.297923,185999.0,170894.0,1059,SA,Amérique du Sud
12,12,Chili,admin,Puerto Montt,Chile,CL,-41.465742,-72.942891,174629.0,160054.0,592,SA,Amérique du Sud
14,14,Chili,admin,Valdivia,Chile,CL,-39.827598,-73.224246,159599.0,133419.0,1378,SA,Amérique du Sud
15,15,Chili,admin,La Serena,Chile,CL,-29.904529,-71.248935,154521.0,148059.0,1377,SA,Amérique du Sud
20,20,Chili,admin,Copiapó,Chile,CL,-27.366787,-70.331402,129280.0,105353.0,1208,SA,Amérique du Sud
21,21,Chili,admin,Punta Arenas,Chile,CL,-53.15483,-70.911288,117430.0,95162.0,1130,SA,Amérique du Sud
32,32,Chili,admin,Coyhaique,Chile,CL,-45.576352,-72.062055,45787.0,40655.0,328,SA,Amérique du Sud
0,0,Colombie,primary,Bogotá,Colombia,CO,4.649178,-74.062827,7772000.0,6333661.0,379,SA,Amérique du Sud
1,1,Colombie,admin,Medellín,Colombia,CO,6.2518400000000005,-75.563591,3297000.0,1999979.0,381,SA,Amérique du Sud
2,2,Colombie,admin,Cali,Colombia,CO,3.437222,-76.5225,2254000.0,2178836.0,382,SA,Amérique du Sud
3,3,Colombie,admin,Barranquilla,Colombia,CO,10.963889,-74.796389,1798000.0,1244491.0,383,SA,Amérique du Sud
4,4,Colombie,admin,Bucaramanga,Colombia,CO,7.125392999999999,-73.119804,1009000.0,571820.0,384,SA,Amérique du Sud
5,5,Colombie,admin,Cartagena,Colombia,CO,10.399722,-75.514444,887000.0,887000.0,385,SA,Amérique du Sud
6,6,Colombie,admin,Cúcuta,Colombia,CO,7.893907,-72.50782099999998,722146.0,721398.0,386,SA,Amérique du Sud
8,8,Colombie,admin,Pereira,Colombia,CO,4.813333,-75.696111,568750.0,440118.0,388,SA,Amérique du Sud
9,9,Colombie,admin,Santa Marta,Colombia,CO,11.240791,-74.19904,431781.0,402641.0,389,SA,Amérique du Sud
10,10,Colombie,admin,Ibagué,Colombia,CO,4.438889,-75.232222,421685.0,408627.0,380,SA,Amérique du Sud
11,11,Colombie,admin,Pasto,Colombia,CO,1.213611,-77.281111,382236.0,360041.0,298,SA,Amérique du Sud
12,12,Colombie,admin,Manizales,Colombia,CO,5.0688900000000015,-75.517383,375848.0,357814.0,368,SA,Amérique du Sud
13,13,Colombie,admin,Villavicencio,Colombia,CO,4.142002,-73.626645,374763.0,321717.0,366,SA,Amérique du Sud
14,14,Colombie,admin,Neiva,Colombia,CO,2.927299,-75.281885,352855.0,284277.0,346,SA,Amérique du Sud
15,15,Colombie,admin,Armenia,Colombia,CO,4.533889,-75.681111,315328.0,314267.0,347,SA,Amérique du Sud
16,16,Colombie,admin,Valledupar,Colombia,CO,10.46314,-73.253224,308237.0,287018.0,348,SA,Amérique du Sud
17,17,Colombie,admin,Montería,Colombia,CO,8.747983999999999,-75.881428,275198.0,272420.0,349,SA,Amérique du Sud
18,18,Colombie,admin,Sincelejo,Colombia,CO,9.304722,-75.397778,261187.0,218388.0,350,SA,Amérique du Sud
19,19,Colombie,admin,Popayán,Colombia,CO,2.444444,-76.613889,258750.0,258750.0,351,SA,Amérique du Sud
23,23,Colombie,admin,Tunja,Colombia,CO,5.535278,-73.367778,161412.0,117479.0,367,SA,Amérique du Sud
25,25,Colombie,admin,Ríohacha,Colombia,CO,11.544444,-72.90722199999998,133186.0,92431.0,357,SA,Amérique du Sud
27,27,Colombie,admin,Florencia,Colombia,CO,1.614382,-75.606229,130337.0,44861.0,359,SA,Amérique du Sud
33,33,Colombie,admin,Quibdó,Colombia,CO,5.6947220000000005,-76.661111,92780.0,75104.0,365,SA,Amérique du Sud
36,36,Colombie,admin,Arauca,Colombia,CO,7.084511999999998,-70.75536600000002,69264.0,23797.0,297,SA,Amérique du Sud
38,38,Colombie,admin,Yopal,Colombia,CO,5.337752,-72.395859,61029.0,61029.0,228,SA,Amérique du Sud
40,40,Colombie,admin,Leticia,Colombia,CO,-4.215278,-69.940556,59575.0,32450.0,230,SA,Amérique du Sud
41,41,Colombie,admin,San Andrés,Colombia,CO,12.584722,-81.700556,58257.0,58257.0,231,SA,Amérique du Sud
58,58,Colombie,admin,San José del Guaviare,Colombia,CO,2.572858,-72.645914,22136.0,21214.0,226,SA,Amérique du Sud
59,59,Colombie,admin,Mocoa,Colombia,CO,1.149327,-76.64661,22035.0,22035.0,225,SA,Amérique du Sud
64,64,Colombie,admin,Puerto Carreño,Colombia,CO,6.189031,-67.485879,10216.0,5861.0,207,SA,Amérique du Sud
65,65,Colombie,admin,Mitú,Colombia,CO,1.257778,-70.23472199999999,5917.0,5917.0,208,SA,Amérique du Sud
70,70,Colombie,admin,Inírida,Colombia,CO,3.865278,-67.923889,0.0,,247,SA,Amérique du Sud
0,0,Equateur,admin,Guayaquil,Ecuador,EC,-2.205842,-79.907948,2514000.0,1952029.0,213,SA,Amérique du Sud
1,1,Equateur,primary,Quito,Ecuador,EC,-0.194568,-78.49300500000003,1701000.0,1399814.0,215,SA,Amérique du Sud
2,2,Equateur,admin,Cuenca,Ecuador,EC,-2.900545,-79.004527,286878.0,276964.0,216,SA,Amérique du Sud
3,3,Equateur,admin,Ambato,Ecuador,EC,-1.252369,-78.622781,281425.0,154369.0,217,SA,Amérique du Sud
4,4,Equateur,admin,Portoviejo,Ecuador,EC,-1.0545790000000002,-80.454448,213601.0,170326.0,218,SA,Amérique du Sud
5,5,Equateur,admin,Machala,Ecuador,EC,-3.258608,-79.960535,213034.0,198123.0,219,SA,Amérique du Sud
8,8,Equateur,admin,Esmeraldas,Ecuador,EC,0.969112,-79.652018,173101.0,95630.0,222,SA,Amérique du Sud
9,9,Equateur,admin,Riobamba,Ecuador,EC,-1.670984,-78.647124,172464.0,124478.0,223,SA,Amérique du Sud
10,10,Equateur,admin,Ibarra,Ecuador,EC,0.35171,-78.122333,146741.0,108666.0,214,SA,Amérique du Sud
11,11,Equateur,admin,Loja,Ecuador,EC,-4.005579,-79.202235,126368.0,117796.0,248,SA,Amérique du Sud
13,13,Equateur,admin,Latacunga,Ecuador,EC,-0.935206,-78.615545,94972.0,51717.0,250,SA,Amérique du Sud
14,14,Equateur,admin,Tulcán,Ecuador,EC,0.811871,-77.717271,83000.0,83000.0,275,SA,Amérique du Sud
15,15,Equateur,admin,Babahoyo,Ecuador,EC,-1.802166,-79.534429,76279.0,43467.0,276,SA,Amérique du Sud
16,16,Equateur,admin,Azogues,Ecuador,EC,-2.739694,-78.848602,69087.0,34877.0,277,SA,Amérique du Sud
20,20,Equateur,admin,Tena,Ecuador,EC,-0.993799,-77.81285600000002,31126.0,17172.0,281,SA,Amérique du Sud
22,22,Equateur,admin,Guaranda,Ecuador,EC,-1.5926280000000002,-79.000978,27866.0,20000.0,283,SA,Amérique du Sud
23,23,Equateur,admin,Puyo,Ecuador,EC,-1.483687,-78.002573,24881.0,24881.0,274,SA,Amérique du Sud
24,24,Equateur,admin,Macas,Ecuador,EC,-2.3086830000000003,-78.111346,23687.0,17601.0,284,SA,Amérique du Sud
28,28,Equateur,admin,Zamora,Ecuador,EC,-4.066852,-78.954881,15276.0,7887.0,289,SA,Amérique du Sud
34,34,Equateur,admin,Puerto Baquerizo Moreno,Ecuador,EC,-0.923217,-89.604739,6030.0,4214.0,285,SA,Amérique du Sud
37,37,Equateur,admin,Santa Elena,Ecuador,EC,-2.226222,-80.858725,0.0,,271,SA,Amérique du Sud
38,38,Equateur,admin,Santo Domingo de los Colorados,Ecuador,EC,-0.253047,-79.17535600000002,0.0,,251,SA,Amérique du Sud
39,39,Equateur,admin,Puerto Francisco de Orellana,Ecuador,EC,-0.466446,-76.98719,0.0,,252,SA,Amérique du Sud
40,40,Equateur,admin,Nueva Loja,Ecuador,EC,0.090573,-76.888366,0.0,,253,SA,Amérique du Sud
0,0,Paraguay,primary,Asunción,Paraguay,PY,-25.29389,-57.611111,1870000.0,11693.0,254,SA,Amérique du Sud
2,2,Paraguay,admin,Encarnación,Paraguay,PY,-27.330556,-55.86666700000001,357119.0,146508.0,256,SA,Amérique du Sud
3,3,Paraguay,admin,Ciudad del Este,Paraguay,PY,-25.509722,-54.611111,320872.0,320872.0,257,SA,Amérique du Sud
4,4,Paraguay,admin,Pedro Juan Caballero,Paraguay,PY,-22.547222,-55.733333,102787.0,29271.0,258,SA,Amérique du Sud
5,5,Paraguay,admin,Coronel Oviedo,Paraguay,PY,-25.444444,-56.440278,88101.0,51286.0,259,SA,Amérique du Sud
6,6,Paraguay,admin,Concepción,Paraguay,PY,-23.405556,-57.440278,59118.0,48123.0,272,SA,Amérique du Sud
7,7,Paraguay,admin,Villarrica,Paraguay,PY,-25.780556,-56.448611,41157.0,41157.0,260,SA,Amérique du Sud
10,10,Paraguay,admin,Pilar,Paraguay,PY,-26.863889,-58.3,28435.0,28435.0,264,SA,Amérique du Sud
11,11,Paraguay,admin,Caacupé,Paraguay,PY,-25.386111,-57.140278,21696.0,21696.0,265,SA,Amérique du Sud
12,12,Paraguay,admin,Paraguarí,Paraguay,PY,-25.620833,-57.147222,18881.0,10079.0,266,SA,Amérique du Sud
15,15,Paraguay,admin,Villa Hayes,Paraguay,PY,-25.093056,-57.523611,15643.0,15643.0,269,SA,Amérique du Sud
18,18,Paraguay,admin,Filadelfia,Paraguay,PY,-22.35,-60.033333,10470.0,8048.0,202,SA,Amérique du Sud
19,19,Paraguay,admin,San Juan Bautista,Paraguay,PY,-26.669444,-57.145833,7882.0,7882.0,391,SA,Amérique du Sud
20,20,Paraguay,admin,Caazapá,Paraguay,PY,-26.195833,-56.368056,5504.0,5504.0,393,SA,Amérique du Sud
28,28,Paraguay,admin,Fuerte Olimpo,Paraguay,PY,-21.040278,-57.873611,2475.0,2475.0,520,SA,Amérique du Sud
34,34,Paraguay,admin,Salto del Guairá,Paraguay,PY,-24.0625,-54.306944,0.0,,526,SA,Amérique du Sud
35,35,Paraguay,admin,San Pedro de Ycuamandiyú,Paraguay,PY,-24.091667,-57.076389,0.0,,527,SA,Amérique du Sud
36,36,Paraguay,admin,Areguá,Paraguay,PY,-25.3125,-57.384722,0.0,,201,SA,Amérique du Sud
0,0,Pérou,primary,Lima,Peru,PE,-12.05,-77.05,8012000.0,6758234.0,200,SA,Amérique du Sud
1,1,Pérou,admin,Callao,Peru,PE,-12.056585,-77.118144,876877.0,695586.0,199,SA,Amérique du Sud
2,2,Pérou,admin,Arequipa,Peru,PE,-16.398889,-71.535,815000.0,736570.0,198,SA,Amérique du Sud
3,3,Pérou,admin,Trujillo,Peru,PE,-8.111944,-79.02555600000002,765171.0,276921.0,512,SA,Amérique du Sud
5,5,Pérou,admin,Iquitos,Peru,PE,-3.749125,-73.253828,458729.0,437620.0,510,SA,Amérique du Sud
6,6,Pérou,admin,Huancayo,Peru,PE,-12.065133,-75.204861,412733.0,376657.0,509,SA,Amérique du Sud
7,7,Pérou,admin,Piura,Peru,PE,-5.194491,-80.63282099999998,396932.0,325466.0,489,SA,Amérique du Sud
