,admin,capital,city,country,iso2,lat,lng,population,population_proper
56,Algérie,admin,Constantine,Algeria,DZ,36.365,6.614722,605179.0,450097.0
57,Egypte,admin,Sūhāj,Egypt,EG,26.556952000000006,31.694785,600000.0,209419.0
58,Egypte,admin,Al Manşūrah,Egypt,EG,31.036373,31.380691,600000.0,480494.0
59,Congo Kinshasa,admin,Kisangani,Congo (Kinshasa),CD,0.5152800000000001,25.190987,578470.0,539158.0
60,Côte d'Ivoire,admin,Bouaké,Côte D’Ivoire,CI,7.6938460000000015,-5.030307,567481.0,454821.0
61,Mozambique,,Matola,Mozambique,MZ,-25.829167,32.457221999999994,543907.0,462829.0
62,Mozambique,admin,Beira,Mozambique,MZ,-19.843611,34.838889,530604.0,483789.0
63,Algérie,admin,Blida,Algeria,DZ,36.470039,2.827699,511348.0,265000.0
64,Egypte,admin,Suez,Egypt,EG,29.973714,32.526267,508335.0,488125.0
65,Algérie,admin,Annaba,Algeria,DZ,36.9,7.766667,503524.0,206570.0
66,Egypte,admin,Al Minyā,Egypt,EG,28.109884,30.750299,500000.0,227150.0
67,Tanzanie,admin,Mwanza,Tanzania,TZ,-2.516667,32.9,493944.0,436801.0
68,Soudan,admin,Port Sudan,Sudan,SD,19.615484,37.203107,489725.0,489725.0
69,Ethiopie,,Nazrēt,Ethiopia,ET,8.55,39.266667,476892.0,213995.0
70,Afrique du Sud,primary,Bloemfontein,South Africa,ZA,-29.121065,26.214003,463064.0,456669.0
71,Tunisie,admin,Sfax,Tunisia,TN,34.740556,10.760278,453050.0,277278.0
72,Algérie,admin,Chlef,Algeria,DZ,36.165253,1.334523,449167.0,449167.0
73,Cameroun,admin,Bamenda,Cameroon,CM,5.9597050000000005,10.145974,445299.0,393835.0
74,Cameroun,admin,Garoua,Cameroon,CM,9.301425,13.397707,436899.0,293974.0
75,Congo Kinshasa,admin,Bukavu,Congo (Kinshasa),CD,-2.490765,28.84281,436779.0,225389.0
76,Congo Kinshasa,,Likasi,Congo (Kinshasa),CD,-10.983031,26.738395,434408.0,422414.0
77,Afrique du Sud,,Welkom,South Africa,ZA,-27.986442,26.706612,431944.0,126079.0
78,Congo Kinshasa,admin,Kolwezi,Congo (Kinshasa),CD,-10.716667,25.4725,418000.0,418000.0
79,Zambie,,Kitwe,Zambia,ZM,-12.79614,28.247672,404901.0,400914.0
80,Tanzanie,admin,Zanzibar,Tanzania,TZ,-6.166667,39.18333300000001,403658.0,373220.0
81,Ouganda,admin,Mbale,Uganda,UG,1.074804,34.177352,402368.0,91800.0
82,Soudan,admin,Kassala,Sudan,SD,15.458728,36.389684,401477.0,339521.0
83,Zambie,admin,Ndola,Zambia,ZM,-12.958672,28.636593,396339.0,394518.0
84,Kenya,admin,Kisumu,Kenya,KE,-0.10221,34.761714000000005,395615.0,216479.0
85,Soudan,admin,El Obeid,Sudan,SD,13.181934,30.221872,393311.0,269424.0
86,Soudan,admin,Nyala,Sudan,SD,12.048882,24.880694,392373.0,392373.0
87,Mozambique,admin,Nampula,Mozambique,MZ,-15.119722,39.264722,388526.0,383845.0
88,Libye,admin,Mişrātah,Libya,LY,32.375352,15.092543,386120.0,216200.0
89,Algérie,admin,Bejaïa,Algeria,DZ,36.75587,5.084332,384937.0,164103.0
90,Kenya,admin,Nakuru,Kenya,KE,-0.283333,36.066667,364727.0,259903.0
91,Burkina Faso,admin,Bobo-Dioulasso,Burkina Faso,BF,11.177154,-4.297901,360106.0,331964.0
92,Kenya,,Eldoret,Kenya,KE,0.520356,35.269925,353381.0,218446.0
93,Soudan,,Kūstī,Sudan,SD,13.166667000000002,32.666667,345068.0,203858.0
94,Tanzanie,admin,Arusha,Tanzania,TZ,-3.366667,36.68333300000001,341136.0,320074.0
95,Congo Kinshasa,,Beni,Congo (Kinshasa),CD,0.491133,29.473059000000006,332903.0,89648.0
96,Soudan,admin,Wad Medani,Sudan,SD,14.392270000000002,33.528040000000004,332714.0,284367.0
97,Burundi,primary,Bujumbura,Burundi,BI,-3.3822,29.3644,331700.0,331700.0
98,Tunisie,,Hammam Sousse,Tunisia,TN,35.860904,10.603131,327004.0,164123.0
99,Cameroun,admin,Maroua,Cameroon,CM,10.590946,14.315925,319941.0,201371.0
100,Madagascar,minor,Antsirabe,Madagascar,MG,-19.866965,47.039352,307921.0,307921.0
101,Ouganda,admin,Jinja,Uganda,UG,0.4244439999999999,33.204167,301619.0,89700.0
102,Tanzanie,admin,Mbeya,Tanzania,TZ,-8.9,33.45,291649.0,232062.0
103,Cameroun,admin,Bafoussam,Cameroon,CM,5.477752,10.417591,290768.0,290768.0
104,Algérie,admin,Batna,Algeria,DZ,35.555278,6.178611,280798.0,258136.0
105,Algérie,admin,Sétif,Algeria,DZ,36.191121,5.4137330000000015,274744.0,274744.0
106,Libye,admin,Tobruk,Libya,LY,32.083611,23.976389,263527.0,121052.0
107,Mozambique,admin,Chimoio,Mozambique,MZ,-19.116389,33.483333,256936.0,228141.0
108,Côte d'Ivoire,,Déraouan,Côte D’Ivoire,CI,6.890867,-6.423196,255168.0,215652.0
109,Soudan,admin,El Fasher,Sudan,SD,13.616389000000002,25.356389,252609.0,189203.0
110,Ethiopie,admin,Dire Dawa,Ethiopia,ET,9.593056,41.866111,252279.0,248372.0
111,Tanzanie,admin,Morogoro,Tanzania,TZ,-6.816667,37.666667,250902.0,234535.0
112,Ouganda,admin,Arua,Uganda,UG,3.0201290000000003,30.911052,250000.0,59400.0
113,Somalie,admin,Kismaayo,Somalia,SO,-0.358173,42.545365,234852.0,134951.0
114,Niger,admin,Maradi,Niger,NE,13.5,7.101744,232555.0,163487.0
115,Cameroun,admin,Ngaoundéré,Cameroon,CM,7.316667,13.583332999999998,231357.0,37288.0
116,Niger,admin,Zinder,Niger,NE,13.804869,8.988371,230358.0,191424.0
117,Algérie,admin,Tlemcen,Algeria,DZ,34.878333000000005,-1.315,229777.0,132341.0
118,Mali,admin,Sikasso,Mali,ML,11.3135,-5.6697,225753.0,144786.0
119,Tanzanie,admin,Tanga,Tanzania,TZ,-5.066667,39.1,224876.0,209435.0
120,Guinée,admin,Guéckédou,Guinea,GN,8.5625,-10.1325,221715.0,221715.0
121,Tunisie,admin,Gabès,Tunisia,TN,33.881457,10.098196000000002,219517.0,110075.0
122,Tanzanie,primary,Dodoma,Tanzania,TZ,-6.183333,35.75,218269.0,180541.0
123,Cameroun,admin,Bertoua,Cameroon,CM,4.5833330000000005,13.683333,218111.0,88462.0
124,Cameroun,,Limbe,Cameroon,CM,4.0242,9.2149,212474.0,72106.0
125,Côte d'Ivoire,admin,San-Pédro,Côte D’Ivoire,CI,4.748508,-6.636301,210273.0,196751.0
126,Madagascar,admin,Toamasina,Madagascar,MG,-18.151349,49.408139,210226.0,206373.0
127,Botswana,primary,Gaborone,Botswana,BW,-24.646389000000006,25.911944,208411.0,159243.0
128,Angola,,Lobito,Angola,AO,-12.351905,13.546392,207932.0,133534.0
129,Ethiopie,admin,Bahir Dar,Ethiopia,ET,11.6,37.383333,206748.0,168899.0
130,Côte d'Ivoire,primary,Yamoussoukro,Côte D’Ivoire,CI,6.820548,-5.276741,206499.0,194530.0
131,Cameroun,,Edéa,Cameroon,CM,3.8,10.133333,203149.0,15864.0
132,Libye,admin,Al Khums,Libya,LY,32.648613,14.261909,201943.0,183061.0
133,Soudan,admin,Gedaref,Sudan,SD,14.035832999999998,35.384444,201282.0,201282.0
134,Libye,,Ḩārat az Zāwiyah,Libya,LY,32.763056,12.715,200000.0,186123.0
135,Zambie,admin,Kasama,Zambia,ZM,-10.212889,31.180842,200000.0,113000.0
136,Tchad,admin,Bongor,Chad,TD,10.280556,15.372222,193941.0,30518.0
137,Zambie,admin,Kabwe,Zambia,ZM,-14.443217,28.451743,188979.0,188355.0
138,Mozambique,admin,Quelimane,Mozambique,MZ,-17.878611,36.888333,188964.0,169101.0
139,Somalie,,Jamaame,Somalia,SO,0.06968300000000001,42.744972,185270.0,128577.0
140,Madagascar,admin,Fianarantsoa,Madagascar,MG,-21.447807,47.088401,184184.0,167227.0
