,admin,capital,city,country,iso2,lat,lng,population,population_proper
60,Indonésie,,Bekasijaya,Indonesia,ID,-6.2308330000000005,107.013611,2378211.0,1520119.0
61,Japon,admin,Sendai,Japan,JP,38.266667,140.866667,2250000.0,1037562.0
62,Ouzbékistan,primary,Tashkent,Uzbekistan,UZ,41.316667,69.25,2184000.0,1978028.0
63,Azerbaïdjan,primary,Baku,Azerbaijan,AZ,40.39527800000001,49.882222,2122300.0,1892000.0
64,Indonésie,,Merdeka,Indonesia,ID,3.5704,98.6593,2115000.0,1750971.0
65,Arabie Saoudite,admin,Ad Dammām,Saudi Arabia,SA,26.434417,50.103263,2054710.0,768602.0
66,Japon,admin,Hiroshima,Japan,JP,34.4,132.45,2045000.0,1143841.0
67,Yémen,primary,Sanaa,Yemen,YE,15.354722,44.206667,2008000.0,1835853.0
68,Viet Nam,admin,Haiphong,Vietnam,VN,20.864807,106.683449,1969000.0,602695.0
69,Taïwan,admin,Tainan,Taiwan,TW,22.990833,120.213333,1876312.0,762000.0
70,Pakistan,,Serai,Pakistan,PK,34.739329999999995,72.335655,1860310.0,1860310.0
71,Pakistan,minor,Rāwalpindi,Pakistan,PK,33.597331,73.047904,1858000.0,1743101.0
72,Liban,primary,Beirut,Lebanon,LB,33.871944,35.509722,1846000.0,1712125.0
73,Japon,admin,Kyōto,Japan,JP,35.016667,135.75,1805000.0,1459640.0
74,Indonésie,admin,Palembang,Indonesia,ID,-2.976389,104.75,1749000.0,1441500.0
75,Taïwan,,Zhongcuo,Taiwan,TW,24.966667,121.233333,1632616.0,369770.0
76,Iran,admin,Eşfahān,Iran,IR,32.657218,51.677608,1628000.0,1517766.0
77,Japon,admin,Kōbe,Japan,JP,34.683333000000005,135.183333,1528478.0,1528478.0
78,Pakistan,minor,Multān,Pakistan,PK,30.196789000000006,71.478241,1522000.0,1437230.0
79,Pakistan,minor,Gujrānwāla,Pakistan,PK,32.155667,74.18705200000002,1513000.0,1384471.0
80,Turquie,admin,Bursa,Turkey,TR,40.195593,29.06013,1492000.0,1359089.0
81,Corée du Sud,,Yejŏng,"Korea, South",KR,36.333333,127.383333,1468000.0,1448330.0
82,Cambodge,primary,Phnom Penh,Cambodia,KH,11.56245,104.916006,1466000.0,1466000.0
83,Pakistan,minor,Hyderābād City,Pakistan,PK,25.396891,68.377183,1459000.0,1386330.0
84,Malaisie,primary,Kuala Lumpur,Malaysia,MY,3.166667,101.7,1448000.0,1448000.0
85,Corée du Sud,admin,Gwangju,"Korea, South",KR,35.154722,126.915556,1440000.0,1416938.0
